시군구별,순환계통 사망자수,운수사고 사망자수,낙상(추락) 사망자수,사망자수 합계
00 전국,"62,370","3,624","2,722","68,716"
11 서울특별시,"9,350",367,423,"10,140"
　　　11010 종로구,229,7,11,247
　　　11020 중구,194,4,10,208
　　　11030 용산구,247,5,14,266
　　　11040 성동구,242,10,21,273
　　　11050 광진구,337,14,14,365
　　　11060 동대문구,407,23,15,445
　　　11070 중랑구,401,23,30,454
　　　11080 성북구,476,18,21,515
　　　11090 강북구,354,12,15,381
　　　11100 도봉구,342,8,22,372
　　　11110 노원구,545,13,31,589
　　　11120 은평구,552,25,15,592
　　　11130 서대문구,361,12,11,384
　　　11140 마포구,307,10,13,330
　　　11150 양천구,375,23,17,415
　　　11160 강서구,546,17,21,584
　　　11170 구로구,382,13,24,419
　　　11180 금천구,303,25,15,343
　　　11190 영등포구,420,20,11,451
　　　11200 동작구,349,11,14,374
　　　11210 관악구,531,21,26,578
　　　11220 서초구,266,8,16,290
　　　11230 강남구,356,11,6,373
　　　11240 송파구,474,20,14,508
　　　11250 강동구,354,14,16,384
21 부산광역시,"5,412",180,210,"5,802"
　　　21010 중구,117,2,3,122
　　　21020 서구,245,11,16,272
　　　21030 동구,199,4,9,212
　　　21040 영도구,313,17,15,345
　　　21050 부산진구,580,15,22,617
　　　21060 동래구,372,16,13,401
　　　21070 남구,408,11,19,438
　　　21080 북구,402,15,13,430
　　　21090 해운대구,566,14,9,589
　　　21100 사하구,508,14,27,549
　　　21110 금정구,398,16,11,425
　　　21120 강서구,129,11,2,142
　　　21130 연제구,287,3,14,304
　　　21140 수영구,289,3,5,297
　　　21150 사상구,349,17,15,381
　　　21310 기장군,250,11,17,278
22 대구광역시,"3,004",118,122,"3,244"
　　　22010 중구,136,4,4,144
　　　22020 동구,515,26,22,563
　　　22030 서구,289,13,16,318
　　　22040 남구,256,5,12,273
　　　22050 북구,493,20,21,534
　　　22060 수성구,476,13,18,507
　　　22070 달서구,570,25,20,615
　　　22310 달성군,269,12,9,290
23 인천광역시,"3,017",128,133,"3,278"
　　　23010 중구,135,11,6,152
　　　23020 동구,123,6,6,135
　　　23030 남구,,,,0
　　　23040 연수구,328,9,5,342
　　　23050 남동구,558,17,20,595
　　　23060 부평구,519,20,22,561
　　　23070 계양구,283,14,24,321
　　　23080 서구,410,23,14,447
　　　23090 미추홀구,497,19,25,541
　　　23310 강화군,131,8,10,149
　　　23320 옹진군,33,1,1,35
24 광주광역시,"1,356",64,53,"1,473"
　　　24010 동구,129,5,5,139
　　　24020 서구,263,14,7,284
　　　24030 남구,217,10,17,244
　　　24040 북구,458,15,14,487
　　　24050 광산구,289,20,10,319
25 대전광역시,"1,133",80,81,"1,294"
　　　25010 동구,242,13,23,278
　　　25020 중구,232,17,14,263
　　　25030 서구,312,19,20,351
　　　25040 유성구,184,20,13,217
　　　25050 대덕구,163,11,11,185
26 울산광역시,"1,317",64,41,"1,422"
　　　26010 중구,275,14,9,298
　　　26020 남구,377,18,12,407
　　　26030 동구,185,5,7,197
　　　26040 북구,172,10,4,186
　　　26310 울주군,308,17,9,334
29 세종특별자치시,245,15,9,269
　　　29010 세종시,245,15,9,269
31 경기도,"12,854",613,592,"14,059"
　　　31010 수원시,903,49,46,998
　　　31011 장안구,280,8,9,297
　　　31012 권선구,270,21,19,310
　　　31013 팔달구,177,9,11,197
　　　31014 영통구,176,11,7,194
　　　31020 성남시,963,28,51,"1,042"
　　　31021 수정구,298,12,16,326
　　　31022 중원구,274,8,15,297
　　　31023 분당구,391,8,20,419
　　　31030 의정부시,485,27,22,534
　　　31040 안양시,561,17,27,605
　　　31041 만안구,315,9,10,334
　　　31042 동안구,246,8,17,271
　　　31050 부천시,773,30,25,828
　　　31051 원미구,,,,0
　　　31052 소사구,,,,0
　　　31053 오정구,,,,0
　　　31060 광명시,304,14,10,328
　　　31070 평택시,637,37,38,712
　　　31080 동두천시,203,4,6,213
　　　31090 안산시,656,36,36,728
　　　31091 상록구,367,19,18,404
　　　31092 단원구,289,17,18,324
　　　31100 고양시,859,42,67,968
　　　31101 덕양구,386,23,36,445
　　　31102 일산구,,,,0
　　　31103 일산동구,252,8,13,273
　　　31104 일산서구,221,11,18,250
　　　31110 과천시,45,1,2,48
　　　31120 구리시,156,11,10,177
　　　31130 남양주시,685,26,38,749
　　　31140 오산시,235,13,9,257
　　　31150 시흥시,410,31,12,453
　　　31160 군포시,257,8,10,275
　　　31170 의왕시,187,3,2,192
　　　31180 하남시,223,11,18,252
　　　31190 용인시,829,35,27,891
　　　31191 처인구,301,18,8,327
　　　31192 기흥구,310,7,10,327
