,행정구역,sig_cd,구급차출동시간,기대수명,병원수,보건시설,구급차,의사수,지방소멸지수
0,서울특별시 종로구,11110,0,85.31,6,48.22,7,21.1,0.758375852
1,서울특별시 중구,11140,0,85.36,5,38.12,5,10.2,0.784802018
2,서울특별시 용산구,11170,0,85.68,3,99.24,6,3.6,0.920010268
3,서울특별시 성동구,11200,0,85.38,6,93.22,4,3.6,0.925890519
4,서울특별시 광진구,11215,0,85.1,6,83.0,6,3.8,1.084602307
5,서울특별시 동대문구,11230,0,84.52,17,93.43,7,5.4,0.813843178
6,서울특별시 중랑구,11260,0,84.08,16,122.28,7,2.7,0.718983224
7,서울특별시 성북구,11290,0,84.91,7,125.91,6,3.1,0.801351955
8,서울특별시 강북구,11305,0,84.01,10,129.66,7,2.5,0.555292153
9,서울특별시 도봉구,11320,0,84.67,6,160.87,6,2.0,0.552702881
10,서울특별시 노원구,11350,0,84.53,9,108.51,9,3.4,0.682389197
11,서울특별시 은평구,11380,0,84.82,12,116.15,8,2.7,0.734844555
12,서울특별시 서대문구,11410,0,85.48,7,108.25,7,6.9,0.865269355
13,서울특별시 마포구,11440,0,85.38,5,62.79,9,2.9,1.187884062
14,서울특별시 양천구,11470,0,84.8,8,92.32,8,3.2,0.729728628
15,서울특별시 강서구,11500,0,84.58,21,95.14,6,2.9,0.943155229
16,서울특별시 구로구,11530,0,84.98,10,112.41,8,3.7,0.752609108
17,서울특별시 금천구,11545,0,83.82,5,98.73,5,2.5,0.822266033
18,서울특별시 영등포구,11560,0,85.44,16,72.8,8,5.1,1.026862614
19,서울특별시 동작구,11590,0,85.87,7,101.48,6,3.8,0.912459337
20,서울특별시 관악구,11620,0,84.74,12,103.22,8,2.2,1.15843949
21,서울특별시 서초구,11650,0,87.13,14,39.89,4,7.7,0.892196007
22,서울특별시 강남구,11680,0,86.86,37,25.09,10,13.1,0.920971223
23,서울특별시 송파구,11710,0,86.03,24,72.43,9,5.5,0.955392064
24,서울특별시 강동구,11740,0,85.03,18,80.75,8,4.8,0.80480473
25,부산광역시 중구,26110,0,82.19,3,75.16,7,7.1,0.433526012
26,부산광역시 영도구,26200,74,81.65,4,211.74,5,2.4,0.274823231
27,부산광역시 부산진구,26230,0,83.14,21,78.79,9,5.5,0.654912461
28,부산광역시 해운대구,26350,2,83.62,15,98.16,9,3.5,0.537467567
29,부산광역시 사하구,26380,"38,841",82.58,20,132.09,7,2.4,0.47960841
30,부산광역시 금정구,26410,131,83.23,11,130.62,8,2.5,0.455425331
31,부산광역시 강서구,26440,636,83.2,7,125.91,6,1.2,0.891276344
32,부산광역시 연제구,26470,0,83.82,13,103.75,8,3.2,0.533809736
33,부산광역시 수영구,26500,140,84.18,9,109.21,8,3.8,0.578045838
34,부산광역시 사상구,26530,0,81.69,9,157.46,11,2.7,0.521769823
35,부산광역시 기장군,26710,851,82.93,6,147.95,6,1.9,0.602583753
36,대구광역시 동구,27140,"4,719",83.17,9,135.96,9,2.7,0.505725499
37,대구광역시 서구,27170,0,81.98,8,145.82,12,2.6,0.360739509
38,대구광역시 북구,27230,39,83.27,23,110.18,9,2.6,0.694291259
39,대구광역시 수성구,27290,46,85.01,41,94.63,7,3.5,0.679939605
40,대구광역시 달성군,27710,"61,824",82.84,5,118.78,6,1.5,0.768308097
41,인천광역시 중구,28110,"80,271",83.37,4,157.62,10,4.3,0.862633006
42,인천광역시 연수구,28185,"3,634",84.35,6,86.86,5,1.9,1.10347412
43,인천광역시 동구,28200,35,83.31,14,156.87,8,3.4,0.742455243
44,인천광역시 부평구,28237,0,83.62,12,108.2,10,2.8,0.770957546
45,인천광역시 계양구,28245,0,83.16,9,101.23,6,2.5,0.783806028
46,인천광역시 서구,28260,29,83.33,15,106.98,4,2.1,1.101959537
47,인천광역시 강화군,28710,"31,204",83.82,2,256.14,10,1.9,0.175117408
48,광주광역시 동구,29110,4,83.09,8,89.59,6,12.1,0.596547503
49,광주광역시 서구,29140,0,84.05,27,69.32,8,3.7,0.793162466
50,광주광역시 남구,29155,440,84.01,16,104.93,7,3.5,0.588402074
51,광주광역시 북구,29170,865,83.38,32,102.06,11,2.9,0.731932235
52,광주광역시 광산구,29200,"2,495",83.13,25,75.75,11,2.7,1.18438122
53,대전광역시 동구,30110,"1,996",83.11,4,123.62,9,2.4,0.529827805
54,대전광역시 중구,30140,774,83.82,6,118.36,9,5.8,0.517920242
55,대전광역시 서구,30170,"2,741",84.26,26,64.57,6,4.6,0.943356158
56,대전광역시 유성구,30200,"1,023",84.73,15,69.64,7,2.5,1.270120838
57,대전광역시 대덕구,30230,544,83.28,6,120.48,6,2.3,0.583288867
58,울산광역시 중구,31110,0,83.02,7,128.25,6,2.0,0.549576417
59,울산광역시 남구,31140,8,82.83,23,61.45,10,3.6,0.797546283
60,울산광역시 동구,31170,9,82.41,2,112.97,4,3.8,0.640162289
61,울산광역시 북구,31200,"1,403",82.7,6,93.96,6,1.3,1.125270465
62,울산광역시 울주군,31710,"33,162",82.55,5,158.32,7,1.4,0.549947016
63,경기도 의정부시,41150,21,83.48,18,116.33,10,3.1,0.752002024
64,경기도 부천시,41190,0,84.48,21,95.55,11,3.1,0.793157209
65,경기도 광명시,41210,0,84.57,6,90.96,5,2.5,0.764978782
66,경기도 평택시,41220,"3,152",83.23,15,105.12,7,1.9,0.984453675
67,경기도 동두천시,41250,696,81.54,1,204.92,4,2.0,0.430390696
68,경기도 구리시,41310,0,84.4,9,76.76,4,3.9,0.794587162
69,경기도 남양주시,41360,"12,332",83.97,17,136.83,12,1.6,0.71171677
70,경기도 오산시,41370,0,83.25,10,92.31,5,2.0,1.133160079
71,경기도 시흥시,41390,4,83.35,9,94.68,8,1.7,1.153816289
72,경기도 군포시,41410,0,85.57,5,106.24,5,2.3,0.811327535
