,시군구,sig_cd,구급차출동시간,기대수명,병원수,보건시설,구급차수,의사수,지방소멸,EMCI,EMCI순위
67,경기도 동두천시,41250,165.0,243,177.0,158.5,98.0,137,100.0,1078.5,1.0
178,경상남도 남해군,48840,90.0,213,125.0,166.0,37.0,184,176.0,991.0,2.0
95,강원도 철원군,42780,124.0,252,128.0,135.5,39.0,197,115.0,990.5,3.0
163,경상북도 칠곡군,47850,149.0,196,180.0,99.5,80.0,219,61.0,984.5,4.0
92,강원도 횡성군,42730,89.0,203,143.0,176.0,8.0,206,147.0,972.0,5.0
26,부산광역시 영도구,26200,169.0,238,74.0,166.0,95.0,94,134.0,970.0,6.0
154,경상북도 영천시,47230,116.0,228,154.0,135.5,66.0,128,137.0,964.5,7.0
150,경상북도 김천시,47150,102.0,175,173.0,144.0,91.0,154,114.0,953.0,8.0
106,충청북도 음성군,43770,141.0,249,142.0,99.5,58.0,154,107.0,950.5,9.0
62,울산광역시 울주군,31710,133.0,185,135.0,106.5,119.0,215,55.0,948.5,10.0
181,경상남도 합천군,48890,110.0,237,127.0,163.0,17.0,114,180.0,948.0,11.0
114,충청남도 부여군,44760,101.0,163,171.0,158.5,48.0,137,169.0,947.5,12.0
83,경기도 여주시,41730,125.0,204,165.0,124.0,81.0,137,110.0,946.0,13.0
145,전라남도 장성군,46880,174.0,167,50.0,158.5,76.0,169,142.0,936.5,14.0
161,경상북도 고령군,47830,160.0,187,91.0,144.0,30.0,169,154.0,935.0,15.0
146,전라남도 완도군,46890,91.0,219,149.0,154.0,16.0,137,155.0,921.0,16.0
82,경기도 포천시,41650,119.0,225,107.0,135.5,61.0,169,103.0,919.5,17.0
88,강원도 태백시,42190,173.0,209,37.0,163.0,45.0,169,120.0,916.0,18.0
171,경상남도 밀양시,48270,98.0,244,16.0,163.0,77.0,169,140.0,907.0,19.0
84,경기도 가평군,41820,120.0,218,93.0,130.5,49.0,169,126.0,905.5,20.0
98,강원도 고성군,42820,87.0,248,1.0,179.0,25.0,226,138.0,904.0,21.0
40,대구광역시 달성군,27710,163.0,154,156.0,65.0,140.0,206,19.0,903.0,22.0
162,경상북도 성주군,47840,44.0,215,130.0,158.5,54.0,137,158.0,896.5,23.5
177,경상남도 고성군,48820,50.0,250,62.0,168.5,46.0,169,151.0,896.5,23.5
