,Unnamed: 0,소방서명,구급차 대수,주소,시군구 코드,시군구 ,2023년03월_계_총인구수,순위,인구별구급차
0,144,서울특별시 종로소방서,7,서울특별시 종로구 율곡로 78(운니동 114-2),11110,서울특별시 종로구,141060,93.0,4.962427335885439e-05
1,146,서울특별시 중부소방서,5,서울특별시 중구 퇴계로 394(무학동),11140,서울특별시 중구,120963,103.0,4.1334953663516945e-05
2,142,서울특별시 용산소방서,6,서울특별시 용산구 한강대로 167 (한강로2가),11170,서울특별시 용산구,217756,125.0,2.755377578574184e-05
3,137,서울특별시 성동소방서,4,서울특별시 성동구 살곶이길 331(행당동),11200,서울특별시 성동구,280240,172.0,1.4273479874393378e-05
4,127,서울특별시 광진소방서,6,서울특별시 광진구 광나루로 480 (구의동),11215,서울특별시 광진구,336801,160.0,1.7814673946930085e-05
5,132,서울특별시 동대문소방서,7,서울특별시 동대문구 장한로 34 (장안동),11230,서울특별시 동대문구,337574,150.0,2.0736194138174147e-05
6,145,서울특별시 중랑소방서,7,서울특별시 중랑구 신내로 183 (신내동),11260,서울특별시 중랑구,385003,158.0,1.8181676506416832e-05
7,138,서울특별시 성북소방서,6,서울특별시 성북구 종암로 27길 3 (종암동),11290,서울특별시 성북구,430100,174.0,1.3950244129272262e-05
8,124,서울특별시 강북소방서,7,서울특별시 강북구 한천로 911 (번동),11305,서울특별시 강북구,292762,136.0,2.3910206925762224e-05
9,131,서울특별시 도봉소방서,6,서울특별시 도봉구 도봉로 666 (방학동),11320,서울특별시 도봉구,310509,154.0,1.932311140739882e-05
10,130,서울특별시 노원소방서,9,서울특별시 노원구 한글비석로 1길 8 (하계동),11350,서울특별시 노원구,502515,159.0,1.7909913136921285e-05
11,143,서울특별시 은평소방서,8,서울특별시 은평구 통일로 962 (진관동),11380,서울특별시 은평구,464871,163.0,1.7209075205809785e-05
12,135,서울특별시 서대문소방서,7,서울특별시 서대문구 연희로 182 (연희동),11410,서울특별시 서대문구,308437,142.0,2.269507225138359e-05
13,134,서울특별시 마포소방서,9,서울특별시 마포구 창전로 76 (신수동),11440,서울특별시 마포구,365570,134.0,2.4619087999562328e-05
14,140,서울특별시 양천소방서,8,서울특별시 양천구 목동서로 180 (목동),11470,서울특별시 양천구,439219,157.0,1.821414829504188e-05
15,125,서울특별시 강서소방서,6,서울특별시 강서구 양천로 550 (등촌동),11500,서울특별시 강서구,568287,180.0,1.0558045494618036e-05
16,128,서울특별시 구로소방서,8,서울특별시 구로구 경인로 408 (고척동),11530,서울특별시 구로구,395183,152.0,2.024378579038066e-05
17,129,서울특별시 금천소방서,5,서울특별시 금천구 시흥대로 342 금천소방서,11545,서울특별시 금천구,229307,144.0,2.1804829333600807e-05
18,141,서울특별시 영등포소방서,8,서울특별시 영등포구 문래로 197 (영등포동4가),11560,서울특별시 영등포구,376614,146.0,2.1241908160610067e-05
19,133,서울특별시 동작소방서,6,서울특별시 동작구 여의대방로16길 55 (신대방동),11590,서울특별시 동작구,380201,168.0,1.578112629898396e-05
20,126,서울특별시 관악소방서,8,서울특별시 관악구 관악로 97 (봉천동),11620,서울특별시 관악구,487815,164.0,1.6399659707061077e-05
21,136,서울특별시 서초소방서,4,서울특별시 서초구 사평대로 67 (반포동),11650,서울특별시 서초구,404831,181.0,9.880666253325461e-06
22,122,서울특별시 강남소방서,10,서울특별시 강남구 테헤란로 629 (삼성동),11680,서울특별시 강남구,532798,156.0,1.8768839222369455e-05
23,139,서울특별시 송파소방서,9,서울특별시 송파구 오금로51길 56 (마천동),11710,서울특별시 송파구,658006,175.0,1.3677686829603377e-05
