,행정구역,순위,취약인구 수(명),비율(%),시군구코드
0,서울특별시 종로구,20.0,0,0.0,11110
1,서울특별시 중구,20.0,0,0.0,11140
2,서울특별시 용산구,20.0,0,0.0,11170
3,서울특별시 성동구,20.0,0,0.0,11200
4,서울특별시 광진구,20.0,0,0.0,11215
5,서울특별시 동대문구,20.0,0,0.0,11230
6,서울특별시 중랑구,20.0,0,0.0,11260
7,서울특별시 성북구,20.0,0,0.0,11290
8,서울특별시 강북구,20.0,0,0.0,11305
9,서울특별시 도봉구,20.0,0,0.0,11320
10,서울특별시 노원구,20.0,0,0.0,11350
11,서울특별시 은평구,20.0,0,0.0,11380
12,서울특별시 서대문구,20.0,0,0.0,11410
13,서울특별시 마포구,20.0,0,0.0,11440
14,서울특별시 양천구,20.0,0,0.0,11470
15,서울특별시 강서구,20.0,0,0.0,11500
16,서울특별시 구로구,20.0,0,0.0,11530
17,서울특별시 금천구,20.0,0,0.0,11545
18,서울특별시 영등포구,20.0,0,0.0,11560
19,서울특별시 동작구,20.0,0,0.0,11590
20,서울특별시 관악구,20.0,0,0.0,11620
21,서울특별시 서초구,20.0,0,0.0,11650
22,서울특별시 강남구,20.0,0,0.0,11680
23,서울특별시 송파구,20.0,0,0.0,11710
24,서울특별시 강동구,20.0,0,0.0,11740
25,부산광역시 중구,20.0,0,0.0,26110
26,부산광역시 영도구,169.0,74,0.0,26200
27,부산광역시 부산진구,20.0,0,0.0,26230
28,부산광역시 해운대구,93.0,2,0.0,26350
29,부산광역시 사하구,142.0,"38,841",1.24,26380
30,부산광역시 금정구,68.0,131,0.0,26410
31,부산광역시 강서구,164.0,636,0.02,26440
32,부산광역시 연제구,20.0,0,0.0,26470
33,부산광역시 수영구,73.0,140,0.0,26500
34,부산광역시 사상구,20.0,0,0.0,26530
35,부산광역시 기장군,179.0,851,0.03,26710
36,대구광역시 동구,150.0,"4,719",0.15,27140
37,대구광역시 서구,20.0,0,0.0,27170
38,대구광역시 북구,143.0,39,0.0,27230
39,대구광역시 수성구,157.0,46,0.0,27290
40,대구광역시 달성군,163.0,"61,824",1.97,27710
41,인천광역시 중구,177.0,"80,271",2.55,28110
42,인천광역시 연수구,128.0,"3,634",0.12,28185
43,인천광역시 동구,138.0,35,0.0,28200
44,인천광역시 부평구,20.0,0,0.0,28237
45,인천광역시 계양구,20.0,0,0.0,28245
46,인천광역시 서구,121.5,29,0.0,28260
47,인천광역시 강화군,129.0,"31,204",0.99,28710
48,광주광역시 동구,145.5,4,0.0,29110
49,광주광역시 서구,20.0,0,0.0,29140
50,광주광역시 남구,155.0,440,0.01,29155
51,광주광역시 북구,180.0,865,0.03,29170
52,광주광역시 광산구,94.0,"2,495",0.08,29200
53,대전광역시 동구,42.0,"1,996",0.06,30110
54,대전광역시 중구,170.0,774,0.02,30140
55,대전광역시 서구,95.0,"2,741",0.09,30170
56,대전광역시 유성구,40.0,"1,023",0.03,30200
57,대전광역시 대덕구,161.0,544,0.02,30230
58,울산광역시 중구,20.0,0,0.0,31110
59,울산광역시 남구,171.0,8,0.0,31140
60,울산광역시 동구,181.0,9,0.0,31170
61,울산광역시 북구,41.0,"1,403",0.04,31200
62,울산광역시 울주군,133.0,"33,162",1.06,31710
63,경기도 의정부시,100.0,21,0.0,41150
64,경기도 부천시,20.0,0,0.0,41190
65,경기도 광명시,20.0,0,0.0,41210
66,경기도 평택시,126.0,"3,152",0.1,41220
67,경기도 동두천시,165.0,696,0.02,41250
68,경기도 구리시,20.0,0,0.0,41310
69,경기도 남양주시,55.0,"12,332",0.39,41360
70,경기도 오산시,20.0,0,0.0,41370
71,경기도 시흥시,145.5,4,0.0,41390
72,경기도 군포시,20.0,0,0.0,41410
73,경기도 의왕시,178.0,829,0.03,41430
74,경기도 하남시,148.0,"4,259",0.14,41450
75,경기도 파주시,97.0,"20,021",0.64,41480
76,경기도 이천시,154.0,"44,885",1.43,41500
77,경기도 안성시,112.0,"24,792",0.79,41550
78,경기도 김포시,83.0,"16,861",0.54,41570
79,경기도 화성시,144.0,"39,572",1.26,41590
80,경기도 광주시,130.0,"31,356",1.0,41610
81,경기도 양주시,137.0,"34,897",1.11,41630
82,경기도 포천시,119.0,"28,050",0.89,41650
