,지표연도,시군구,평균 기대수명,시도,군구,시군구 코드,순위
0,2019,서울특별시 종로구,85.31,서울특별시,종로구,11110,19
1,2019,서울특별시 중구,85.36,서울특별시,중구,11140,18
2,2019,서울특별시 용산구,85.68,서울특별시,용산구,11170,9
3,2019,서울특별시 성동구,85.38,서울특별시,성동구,11200,16
4,2019,서울특별시 광진구,85.1,서울특별시,광진구,11215,22
5,2019,서울특별시 동대문구,84.52,서울특별시,동대문구,11230,40
6,2019,서울특별시 중랑구,84.08,서울특별시,중랑구,11260,55
7,2019,서울특별시 성북구,84.91,서울특별시,성북구,11290,27
8,2019,서울특별시 강북구,84.01,서울특별시,강북구,11305,59
9,2019,서울특별시 도봉구,84.67,서울특별시,도봉구,11320,35
10,2019,서울특별시 노원구,84.53,서울특별시,노원구,11350,38
11,2019,서울특별시 은평구,84.82,서울특별시,은평구,11380,28
12,2019,서울특별시 서대문구,85.48,서울특별시,서대문구,11410,13
13,2019,서울특별시 마포구,85.38,서울특별시,마포구,11440,16
14,2019,서울특별시 양천구,84.8,서울특별시,양천구,11470,29
15,2019,서울특별시 강서구,84.58,서울특별시,강서구,11500,36
16,2019,서울특별시 구로구,84.98,서울특별시,구로구,11530,26
17,2019,서울특별시 금천구,83.82,서울특별시,금천구,11545,70
18,2019,서울특별시 영등포구,85.44,서울특별시,영등포구,11560,15
19,2019,서울특별시 동작구,85.87,서울특별시,동작구,11590,8
20,2019,서울특별시 관악구,84.74,서울특별시,관악구,11620,31
21,2019,서울특별시 서초구,87.13,서울특별시,서초구,11650,2
22,2019,서울특별시 강남구,86.86,서울특별시,강남구,11680,4
23,2019,서울특별시 송파구,86.03,서울특별시,송파구,11710,7
24,2019,서울특별시 강동구,85.03,서울특별시,강동구,11740,24
25,2019,부산광역시 중구,82.19,부산광역시,중구,26110,214
26,2019,부산광역시 영도구,81.65,부산광역시,영도구,26200,238
27,2019,부산광역시 북구,83.14,부산광역시,북구,26230,124
28,2019,부산광역시 해운대구,83.62,부산광역시,해운대구,26350,77
29,2019,부산광역시 사하구,82.58,부산광역시,사하구,26380,183
30,2019,부산광역시 금정구,83.23,부산광역시,금정구,26410,115
31,2019,부산광역시 강서구,83.2,부산광역시,강서구,26440,119
32,2019,부산광역시 연제구,83.82,부산광역시,연제구,26470,70
33,2019,부산광역시 수영구,84.18,부산광역시,수영구,26500,51
34,2019,부산광역시 사상구,81.69,부산광역시,사상구,26530,234
35,2019,부산광역시 기장군,82.93,부산광역시,기장군,26710,144
36,2019,대구광역시 동구,83.17,대구광역시,동구,27140,121
37,2019,대구광역시 서구,81.98,대구광역시,서구,27170,224
38,2019,대구광역시 북구,83.27,대구광역시,북구,27230,108
39,2019,대구광역시 수성구,85.01,대구광역시,수성구,27290,25
40,2019,대구광역시 달성군,82.84,대구광역시,달성군,27710,154
41,2019,인천광역시 중구,83.37,인천광역시,중구,28110,96
42,2019,인천광역시 연수구,84.35,인천광역시,연수구,28185,48
43,2019,인천광역시 남동구,83.31,인천광역시,남동구,28200,101
44,2019,인천광역시 부평구,83.62,인천광역시,부평구,28237,77
45,2019,인천광역시 계양구,83.16,인천광역시,계양구,28245,122
46,2019,인천광역시 서구,83.33,인천광역시,서구,28260,99
47,2019,인천광역시 강화군,83.82,인천광역시,강화군,28710,70
48,2019,광주광역시 동구,83.09,광주광역시,동구,29110,127
49,2019,광주광역시 서구,84.05,광주광역시,서구,29140,57
50,2019,광주광역시 남구,84.01,광주광역시,남구,29155,59
51,2019,광주광역시 북구,83.38,광주광역시,북구,29170,94
52,2019,광주광역시 광산구,83.13,광주광역시,광산구,29200,125
53,2019,대전광역시 동구,83.11,대전광역시,동구,30110,126
54,2019,대전광역시 중구,83.82,대전광역시,중구,30140,70
55,2019,대전광역시 서구,84.26,대전광역시,서구,30170,50
56,2019,대전광역시 유성구,84.73,대전광역시,유성구,30200,32
57,2019,대전광역시 대덕구,83.28,대전광역시,대덕구,30230,104
58,2019,울산광역시 중구,83.02,울산광역시,중구,31110,136
59,2019,울산광역시 남구,82.83,울산광역시,남구,31140,155
60,2019,울산광역시 동구,82.41,울산광역시,동구,31170,200
61,2019,울산광역시 북구,82.7,울산광역시,북구,31200,169
62,2019,울산광역시 울주군,82.55,울산광역시,울주군,31710,185
63,2019,경기도 의정부시,83.48,경기도,의정부시,41150,85
64,2019,경기도 부천시,84.48,경기도,부천시,41190,41
65,2019,경기도 광명시,84.57,경기도,광명시,41210,37
66,2019,경기도 평택시,83.23,경기도,평택시,41220,115
67,2019,경기도 동두천시,81.54,경기도,동두천시,41250,243
68,2019,경기도 구리시,84.4,경기도,구리시,41310,46
69,2019,경기도 남양주시,83.97,경기도,남양주시,41360,62
70,2019,경기도 오산시,83.25,경기도,오산시,41370,111
71,2019,경기도 시흥시,83.35,경기도,시흥시,41390,97
72,2019,경기도 군포시,85.57,경기도,군포시,41410,10
73,2019,경기도 의왕시,85.05,경기도,의왕시,41430,23
74,2019,경기도 하남시,84.68,경기도,하남시,41450,34
75,2019,경기도 파주시,83.53,경기도,파주시,41480,81
