,Unnamed: 0,시군구 코드,데이터 개수,시군구 ,2023년03월_계_총인구수,순위,인구별데이터
0,104,11110,6,서울특별시 종로구,141060,56.0,4.253509145044662e-05
1,127,11140,5,서울특별시 중구,120963,60.0,4.1334953663516945e-05
2,155,11170,3,서울특별시 용산구,217756,174.0,1.377688789287092e-05
3,106,11200,6,서울특별시 성동구,280240,145.0,2.1410219811590066e-05
4,107,11215,6,서울특별시 광진구,336801,164.0,1.7814673946930085e-05
5,24,11230,17,서울특별시 동대문구,337574,39.0,5.0359328621280073e-05
6,27,11260,16,서울특별시 중랑구,385003,59.0,4.1558117728952764e-05
7,93,11290,7,서울특별시 성북구,430100,170.0,1.6275284817484307e-05
8,59,11305,10,서울특별시 강북구,292762,85.0,3.41574384653746e-05
9,108,11320,6,서울특별시 도봉구,310509,155.0,1.932311140739882e-05
10,69,11350,9,서울특별시 노원구,502515,163.0,1.7909913136921285e-05
11,47,11380,12,서울특별시 은평구,464871,116.0,2.5813612808714677e-05
12,94,11410,7,서울특별시 서대문구,308437,134.0,2.269507225138359e-05
13,130,11440,5,서울특별시 마포구,365570,175.0,1.3677271110867959e-05
14,81,11470,8,서울특별시 양천구,439219,161.0,1.821414829504188e-05
15,15,11500,21,서울특별시 강서구,568287,76.0,3.695315923116313e-05
16,64,11530,10,서울특별시 구로구,395183,120.0,2.5304732237975824e-05
17,129,11545,5,서울특별시 금천구,229307,141.0,2.1804829333600807e-05
18,29,11560,16,서울특별시 영등포구,376614,57.0,4.2483816321220134e-05
19,98,11590,7,서울특별시 동작구,380201,159.0,1.8411314015481285e-05
20,48,11620,12,서울특별시 관악구,487815,122.0,2.4599489560591616e-05
21,41,11650,14,서울특별시 서초구,404831,82.0,3.458233188663912e-05
22,1,11680,37,서울특별시 강남구,532798,15.0,6.944470512276697e-05
23,9,11710,24,서울특별시 송파구,658006,80.0,3.647383154560901e-05
24,21,11740,18,서울특별시 강동구,459982,63.0,3.913196603345348e-05
25,149,26110,3,부산광역시 중구,39589,10.0,7.577862537573569e-05
26,135,26200,4,부산광역시 영도구,107632,74.0,3.7163668797383674e-05
27,14,26230,21,부산광역시 부산진구,357626,24.0,5.872056282261357e-05
28,36,26350,15,부산광역시 해운대구,384866,64.0,3.897460414793721e-05
29,18,26380,20,부산광역시 사하구,301929,18.0,6.624073871671817e-05
30,55,26410,11,부산광역시 금정구,219936,40.0,5.0014549687181724e-05
31,88,26440,7,부산광역시 강서구,142935,44.0,4.8973309546297266e-05
32,44,26470,13,부산광역시 연제구,203115,22.0,6.40031509243532e-05
33,74,26500,9,부산광역시 수영구,175388,36.0,5.1314799188085844e-05
34,68,26530,9,부산광역시 사상구,203455,53.0,4.4235826104052494e-05
35,114,26710,6,부산광역시 기장군,179148,88.0,3.349186147766093e-05
36,70,27140,9,대구광역시 동구,338782,112.0,2.656575614997255e-05
37,84,27170,8,대구광역시 서구,158546,38.0,5.0458542000428897e-05
38,11,27230,23,대구광역시 북구,428117,30.0,5.372363162406538e-05
39,0,27290,41,대구광역시 달서구,536483,9.0,7.642367046113297e-05
40,126,27710,5,대구광역시 달성군,262617,156.0,1.9039133034038164e-05
41,134,28110,4,인천광역시 중구,153924,115.0,2.5986850653569294e-05
42,109,28185,6,인천광역시 연수구,388239,172.0,1.5454397935292436e-05
43,37,28200,14,인천광역시 남동구,502526,106.0,2.7859255043520136e-05
44,49,28237,12,인천광역시 부평구,490430,123.0,2.446832371592276e-05
45,75,28245,9,인천광역시 계양구,286390,97.0,3.142567827088935e-05
46,33,28260,15,인천광역시 서구,598675,121.0,2.5055330521568465e-05
47,167,28710,2,인천광역시 강화군,69541,104.0,2.8760012079205074e-05
48,80,29110,8,광주광역시 동구,106247,13.0,7.529624365864448e-05
49,4,29140,27,광주광역시 서구,286826,5.0,9.413372567340478e-05
50,28,29155,16,광주광역시 남구,211563,11.0,7.562759083582667e-05
51,2,29170,32,광주광역시 북구,423723,12.0,7.552103614861596e-05
52,6,29200,25,광주광역시 광산구,399149,23.0,6.263325224414943e-05
53,133,30110,4,대전광역시 동구,219576,160.0,1.821692716872518e-05
54,105,30140,6,대전광역시 중구,226080,113.0,2.653927813163482e-05
55,5,30170,26,대전광역시 서구,469386,28.0,5.5391511463912434e-05
56,30,30200,15,대전광역시 유성구,358798,58.0,4.180625310063044e-05
57,113,30230,6,대전광역시 대덕구,171679,81.0,3.494894541557209e-05
58,100,31110,7,울산광역시 중구,207028,86.0,3.3811851536990164e-05
59,10,31140,23,울산광역시 남구,309906,14.0,7.421605260950094e-05
60,185,31170,2,울산광역시 동구,151009,176.0,1.3244243720572946e-05
61,110,31200,6,울산광역시 북구,218747,108.0,2.7428947596995617e-05
62,121,31710,5,울산광역시 울주군,221056,135.0,2.2618702953097857e-05
63,20,41150,18,경기도 의정부시,462637,66.0,3.8907393917909724e-05
64,17,41190,21,경기도 부천시,787813,111.0,2.6656071935852796e-05
65,112,41210,6,경기도 광명시,285198,150.0,2.103801569435971e-05
66,31,41220,15,경기도 평택시,583029,118.0,2.572770822720654e-05
67,208,41250,1,경기도 동두천시,90582,177.0,1.1039720915855247e-05
68,65,41310,9,경기도 구리시,188709,49.0,4.769247889607809e-05
69,25,41360,17,경기도 남양주시,735649,132.0,2.310884674620641e-05
70,58,41370,10,경기도 오산시,229247,55.0,4.362107246768769e-05
71,67,41390,9,경기도 시흥시,517336,167.0,1.7396817542177616e-05
72,116,41410,5,경기도 군포시,265252,157.0,1.884999924600003e-05
73,199,41430,1,경기도 의왕시,159246,182.0,6.2795925800334076e-06
74,87,41450,7,경기도 하남시,326768,144.0,2.1421926259609263e-05
75,35,41480,15,경기도 파주시,496450,101.0,3.021452311411018e-05
76,117,41500,5,경기도 이천시,222148,136.0,2.2507517510848624e-05
77,139,41550,4,경기도 안성시,188574,148.0,2.1211831959867213e-05
78,23,41570,18,경기도 김포시,484514,75.0,3.71506292903817e-05
79,26,41590,17,경기도 화성시,922231,158.0,1.8433559487807284e-05
80,152,41610,3,경기도 광주시,390949,181.0,7.673635180036271e-06
81,103,41630,6,경기도 양주시,122661,45.0,4.891530315259129e-05
82,142,41650,4,경기도 포천시,145614,107.0,2.746988613732196e-05
83,177,41730,2,경기도 여주시,113209,165.0,1.766643994735401e-05
84,176,41820,2,경기도 가평군,61969,93.0,3.2274201616937504e-05
85,128,42110,5,강원도 춘천시,286850,166.0,1.743071291615827e-05
86,19,42130,20,강원도 원주시,360752,27.0,5.543974808178472e-05
87,150,42170,3,강원도 동해시,89186,87.0,3.363756643419371e-05
88,175,42190,2,강원도 태백시,39050,37.0,5.1216389244558256e-05
89,174,42210,2,강원도 속초시,82541,124.0,2.4230382476587392e-05
90,172,42230,2,강원도 삼척시,63487,96.0,3.150251232535795e-05
91,148,42720,3,강원도 홍천군,67759,52.0,4.4274561312888324e-05
92,213,42730,1,강원도 횡성군,46621,143.0,2.144956135647026e-05
93,165,42750,2,강원도 영월군,37656,31.0,5.311238580837051e-05
94,164,42770,2,강원도 정선군,34759,25.0,5.7539054633332376e-05
95,216,42780,1,강원도 철원군,41994,128.0,2.38129256560461e-05
96,144,42800,3,강원도 양구군,21351,2.0,0.0001405086412814388
97,210,42810,1,강원도 인제군,32089,98.0,3.116332699679018e-05
98,122,42820,5,강원도 고성군,27155,1.0,0.00018412815319462345
99,115,43130,5,충청북도 충주시,208001,126.0,2.4038345969490533e-05
100,151,43150,3,충청북도 제천시,131551,133.0,2.2804843748812247e-05
101,204,43720,1,충청북도 보은군,31414,94.0,3.1832940727064365e-05
102,197,43730,1,충청북도 옥천군,49311,151.0,2.0279450832471456e-05
103,217,43740,1,충청북도 영동군,44730,137.0,2.23563603845294e-05
104,188,43750,2,충청북도 진천군,85842,131.0,2.3298618391929358e-05
105,183,43760,2,충청북도 괴산군,36835,29.0,5.429618569295507e-05
106,168,43770,2,충청북도 음성군,91825,142.0,2.1780560849441872e-05
107,215,44150,1,충청남도 공주시,102697,179.0,9.73738278625471e-06
108,157,44180,3,충청남도 보령시,96756,99.0,3.100582909587002e-05
109,82,44200,8,충청남도 아산시,336690,129.0,2.376072945439425e-05
110,158,44210,3,충청남도 서산시,176150,169.0,1.7030939540164633e-05
111,159,44230,3,충청남도 논산시,111914,109.0,2.680629769287131e-05
