,시도군,순위,보건시설 1개당 65세이상 노인인구(명),비율(%),시군구코드
0,서울특별시 종로구,4.0,48.22,0.13,11110
1,서울특별시 중구,2.5,38.12,0.11,11140
2,서울특별시 용산구,35.5,99.24,0.28,11170
3,서울특별시 성동구,26.5,93.22,0.26,11200
4,서울특별시 광진구,17.0,83.0,0.23,11215
5,서울특별시 동대문구,26.5,93.43,0.26,11230
6,서울특별시 중랑구,69.0,122.28,0.34,11260
7,서울특별시 성북구,72.5,125.91,0.35,11290
8,서울특별시 강북구,77.0,129.66,0.36,11305
9,서울특별시 도봉구,113.0,160.87,0.45,11320
10,서울특별시 노원구,47.5,108.51,0.3,11350
11,서울특별시 은평구,60.0,116.15,0.32,11380
12,서울특별시 서대문구,47.5,108.25,0.3,11410
13,서울특별시 마포구,5.5,62.79,0.17,11440
14,서울특별시 양천구,26.5,92.32,0.26,11470
15,서울특별시 강서구,26.5,95.14,0.26,11500
16,서울특별시 구로구,54.5,112.41,0.31,11530
17,서울특별시 금천구,32.0,98.73,0.27,11545
18,서울특별시 영등포구,10.5,72.8,0.2,11560
19,서울특별시 동작구,35.5,101.48,0.28,11590
20,서울특별시 관악구,40.5,103.22,0.29,11620
21,서울특별시 서초구,2.5,39.89,0.11,11650
22,서울특별시 강남구,1.0,25.09,0.07,11680
23,서울특별시 송파구,10.5,72.43,0.2,11710
24,서울특별시 강동구,15.5,80.75,0.22,11740
25,부산광역시 중구,13.0,75.16,0.21,26110
26,부산광역시 영도구,166.0,211.74,0.59,26200
27,부산광역시 부산진구,15.5,78.79,0.22,26230
28,부산광역시 해운대구,32.0,98.16,0.27,26350
29,부산광역시 사하구,80.5,132.09,0.37,26380
30,부산광역시 금정구,77.0,130.62,0.36,26410
31,부산광역시 강서구,72.5,125.91,0.35,26440
32,부산광역시 연제구,40.5,103.75,0.29,26470
33,부산광역시 수영구,47.5,109.21,0.3,26500
34,부산광역시 사상구,106.5,157.46,0.44,26530
35,부산광역시 기장군,96.0,147.95,0.41,26710
36,대구광역시 동구,83.5,135.96,0.38,27140
37,대구광역시 서구,96.0,145.82,0.41,27170
38,대구광역시 북구,54.5,110.18,0.31,27230
39,대구광역시 달서구,26.5,94.63,0.26,27290
40,대구광역시 달성군,65.0,118.78,0.33,27710
41,인천광역시 중구,106.5,157.62,0.44,28110
42,인천광역시 연수구,19.0,86.86,0.24,28185
43,인천광역시 동구,106.5,156.87,0.44,28200
44,인천광역시 부평구,47.5,108.2,0.3,28237
45,인천광역시 계양구,35.5,101.23,0.28,28245
46,인천광역시 서구,47.5,106.98,0.3,28260
47,인천광역시 강화군,180.0,256.14,0.71,28710
48,광주광역시 동구,21.5,89.59,0.25,29110
49,광주광역시 서구,8.5,69.32,0.19,29140
50,광주광역시 남구,40.5,104.93,0.29,29155
51,광주광역시 북구,35.5,102.06,0.28,29170
52,광주광역시 광산구,13.0,75.75,0.21,29200
53,대전광역시 동구,69.0,123.62,0.34,30110
54,대전광역시 중구,65.0,118.36,0.33,30140
55,대전광역시 서구,7.0,64.57,0.18,30170
56,대전광역시 유성구,8.5,69.64,0.19,30200
57,대전광역시 대덕구,65.0,120.48,0.33,30230
58,울산광역시 중구,77.0,128.25,0.36,31110
59,울산광역시 남구,5.5,61.45,0.17,31140
60,울산광역시 동구,54.5,112.97,0.31,31170
61,울산광역시 북구,26.5,93.96,0.26,31200
62,울산광역시 울주군,106.5,158.32,0.44,31710
63,경기도 의정부시,60.0,116.33,0.32,41150
64,경기도 부천시,32.0,95.55,0.27,41190
65,경기도 광명시,21.5,90.96,0.25,41210
66,경기도 평택시,40.5,105.12,0.29,41220
67,경기도 동두천시,158.5,204.92,0.57,41250
68,경기도 구리시,13.0,76.76,0.21,41310
69,경기도 남양주시,83.5,136.83,0.38,41360
70,경기도 오산시,26.5,92.31,0.26,41370
71,경기도 시흥시,26.5,94.68,0.26,41390
72,경기도 군포시,47.5,106.24,0.3,41410
73,경기도 의왕시,83.5,136.67,0.38,41430
74,경기도 하남시,40.5,104.14,0.29,41450
75,경기도 파주시,88.5,138.98,0.39,41480
76,경기도 이천시,65.0,117.05,0.33,41500
77,경기도 안성시,116.5,163.9,0.46,41550
78,경기도 김포시,47.5,108.15,0.3,41570
79,경기도 화성시,19.0,84.69,0.24,41590
80,경기도 광주시,106.5,160.04,0.44,41610
81,경기도 양주시,135.5,183.07,0.51,41630
82,경기도 포천시,135.5,185.07,0.51,41650
83,경기도 여주시,124.0,171.58,0.48,41730
84,경기도 가평군,130.5,179.55,0.5,41820
85,강원도 춘천시,72.5,125.26,0.35,42110
86,강원도 원주시,40.5,104.02,0.29,42130
87,강원도 동해시,106.5,159.56,0.44,42170
88,강원도 태백시,163.0,210.16,0.58,42190
89,강원도 속초시,60.0,115.83,0.32,42210
