,행정구역,순위,인구 1000명당 의사수,코드
0,서울특별시 종로구,1,21.1,11110
1,서울특별시 중구,6,10.2,11140
2,서울특별시 용산구,30,3.6,11170
3,서울특별시 성동구,30,3.6,11200
4,서울특별시 광진구,24,3.8,11215
5,서울특별시 동대문구,15,5.4,11230
6,서울특별시 중랑구,65,2.7,11260
7,서울특별시 성북구,51,3.1,11290
8,서울특별시 강북구,83,2.5,11305
9,서울특별시 도봉구,137,2.0,11320
10,서울특별시 노원구,38,3.4,11350
11,서울특별시 은평구,65,2.7,11380
12,서울특별시 서대문구,11,6.9,11410
13,서울특별시 마포구,55,2.9,11440
14,서울특별시 양천구,47,3.2,11470
15,서울특별시 강서구,55,2.9,11500
16,서울특별시 구로구,28,3.7,11530
17,서울특별시 금천구,83,2.5,11545
18,서울특별시 영등포구,17,5.1,11560
19,서울특별시 동작구,24,3.8,11590
20,서울특별시 관악구,114,2.2,11620
21,서울특별시 서초구,8,7.7,11650
22,서울특별시 강남구,4,13.1,11680
23,서울특별시 송파구,13,5.5,11710
24,서울특별시 강동구,18,4.8,11740
25,부산광역시 중구,10,7.1,26110
26,부산광역시 영도구,94,2.4,26200
27,부산광역시 부산진구,13,5.5,26230
28,부산광역시 해운대구,34,3.5,26350
29,부산광역시 사하구,94,2.4,26380
30,부산광역시 금정구,83,2.5,26410
31,부산광역시 강서구,224,1.2,26440
32,부산광역시 연제구,47,3.2,26470
33,부산광역시 수영구,24,3.8,26500
34,부산광역시 사상구,65,2.7,26530
35,부산광역시 기장군,154,1.9,26710
36,대구광역시 동구,65,2.7,27140
37,대구광역시 서구,75,2.6,27170
38,대구광역시 북구,75,2.6,27230
39,대구광역시 달서구,34,3.5,27290
40,대구광역시 달성군,206,1.5,27710
41,인천광역시 중구,21,4.3,28110
42,인천광역시 연수구,154,1.9,28185
43,인천광역시 남동구,38,3.4,28200
44,인천광역시 부평구,60,2.8,28237
45,인천광역시 계양구,83,2.5,28245
46,인천광역시 서구,128,2.1,28260
47,인천광역시 강화군,154,1.9,28710
48,광주광역시 동구,5,12.1,29110
49,광주광역시 서구,28,3.7,29140
50,광주광역시 남구,34,3.5,29155
51,광주광역시 북구,55,2.9,29170
52,광주광역시 광산구,65,2.7,29200
53,대전광역시 동구,94,2.4,30110
54,대전광역시 중구,12,5.8,30140
55,대전광역시 서구,20,4.6,30170
56,대전광역시 유성구,83,2.5,30200
57,대전광역시 대덕구,103,2.3,30230
58,울산광역시 중구,137,2.0,31110
59,울산광역시 남구,30,3.6,31140
60,울산광역시 동구,24,3.8,31170
