시군구명,시군구코드,,순환계통 사망자 수,순환계통 10만명당 사망률,순환계통 연령 표준화 사망률(10만명당),운수사고 사망자 수,운수사고 10만명당 사망률,운수사고 연령 표준화 사망률(10만명당),낙상 사망자수  ,낙상 10만명당 사망률,낙상 연령 표준화 사망률(10만명당),,,,,,,,
강원도 강릉시,42150,,335,158.1,52.8,19,9,6.4,11,5.2,2.3,,,,,,,,
강원도 고성군,42820,,78,290.6,68.4,3,11.2,3.4,1,3.7,0.5,,,,,,,,
강원도 동해시,42170,,120,133.7,52,9,10,6.3,5,5.6,2.4,,,,,,,,
강원도 삼척시,42230,,119,186.2,53.7,6,9.4,4.3,4,6.3,4.3,,,,,,,,
강원도 속초시,42210,,122,148.5,53.2,5,6.1,4.9,5,6.1,2.7,,,,,,,,
강원도 양구군,42800,,40,182.6,76.1,5,22.8,9.4,2,9.1,3.5,,,,,,,,
강원도 양양군,42830,,57,205.4,48.8,2,7.2,7,2,7.2,2.6,,,,,,,,
강원도 영월군,42750,,90,237.4,64.8,4,10.5,3.8,6,15.8,4.8,,,,,,,,
강원도 원주시,42130,,482,136.1,62.1,26,7.3,5.5,13,3.7,2.1,,,,,,,,
강원도 인제군,42810,,47,147.8,42.3,2,6.3,6.1,2,6.3,2.9,,,,,,,,
강원도 정선군,42770,,72,201.1,60.5,4,11.2,2.7,8,22.3,14.4,,,,,,,,
강원도 철원군,42780,,96,219.4,71.2,8,18.3,14.2,2,4.6,2.3,,,,,,,,
강원도 춘천시,42110,,366,129.9,49.8,21,7.5,6.3,16,5.7,2.8,,,,,,,,
강원도 태백시,42190,,78,189.8,60.3,8,19.5,9.4,2,4.9,1.5,,,,,,,,
강원도 평창군,42760,,86,209.4,66.6,5,12.2,3.6,4,9.7,2.8,,,,,,,,
강원도 홍천군,42720,,108,157.8,38.3,11,16.1,6.8,12,17.5,7.6,,,,,,,,
강원도 화천군,42790,,50,204.9,70,5,20.5,13,1,4.1,0.9,,,,,,,,
강원도 횡성군,42730,,104,225.2,49.1,9,19.5,9.7,6,13,10.8,,,,,,,,
경기도 가평군,41820,,130,210.5,58.9,7,11.3,7.6,6,9.7,3.7,,,,,,,,
경기도 고양시 덕양구,41281,,386,81.1,38.9,23,4.8,3.7,36,7.6,3.9,,,,,,,,
경기도 고양시 일산동구,41285,,252,85,43.9,8,2.7,2.2,13,4.4,2.1,,,,,,,,
경기도 고양시 일산서구,41287,,221,74.3,37.8,11,3.7,2.8,18,6,3.3,,,,,,,,
경기도 과천시,41290,,45,66.6,30,1,1.5,0.4,2,3,1.9,,,,,,,,
경기도 광명시,41210,,304,103.7,55.4,14,4.8,4.5,10,3.4,1.9,,,,,,,,
경기도 광주시,41610,,389,101.7,57.7,24,6.3,5.3,16,4.2,2.6,,,,,,,,
경기도 구리시,41310,,156,80.8,44.3,11,5.7,5.1,10,5.2,2.6,,,,,,,,
경기도 군포시,41410,,257,95.4,48.8,8,3,2.1,10,3.7,1.6,,,,,,,,
경기도 김포시,41570,,280,58.6,35.9,15,3.1,2.7,19,4,2.5,,,,,,,,
경기도 남양주시,41360,,685,95.3,50.6,26,3.6,3.1,38,5.3,3.7,,,,,,,,
경기도 동두천시,41250,,203,219.6,74.2,4,4.3,2.4,6,6.5,2.7,,,,,,,,
경기도 부천시,41190,,773,96,51.7,30,3.7,3,25,3.1,1.9,,,,,,,,
경기도 성남시 분당구,41135,,391,81.6,39.4,8,1.7,1.3,20,4.2,2.4,,,,,,,,
경기도 성남시 수정구,41131,,298,126.2,63.7,12,5.1,4,16,6.8,3.8,,,,,,,,
경기도 성남시 중원구,41133,,274,129.9,64.3,8,3.8,2.8,15,7.1,4.1,,,,,,,,
경기도 수원시 권선구,41113,,270,74.1,46.6,21,5.8,4.7,19,5.2,3.4,,,,,,,,
