,지역별중증사망수치
0,173.0
1,172.70000000000002
2,121.8
3,95.7
4,107.6
5,132.9
6,117.4
7,120.4
8,127.3
9,117.0
10,115.0
11,126.0
12,126.69999999999999
13,90.6
14,93.0
15,102.2
16,105.6
17,150.29999999999998
18,121.2
19,97.60000000000001
20,119.4
21,70.50000000000001
22,70.89999999999999
23,77.49999999999999
24,84.19999999999999
25,303.7
26,312.0
27,174.7
28,148.8
29,179.0
30,185.9
31,101.60000000000001
32,147.20000000000002
33,170.29999999999998
34,182.49999999999997
35,158.7
36,166.0
37,191.5
38,122.3
39,111.89999999999999
40,111.5
41,108.39999999999999
42,88.5
43,114.9
44,115.39999999999999
45,109.3
46,82.0
47,215.9
48,136.4
49,97.10000000000001
50,114.00000000000001
51,114.1
52,79.1
53,125.80000000000001
54,113.9
55,74.2
56,62.00000000000001
57,105.89999999999999
58,139.1
59,129.1
60,127.3
61,85.19999999999999
62,150.79999999999998
63,116.60000000000001
64,102.8
65,111.9
66,130.6
67,230.4
68,91.7
69,104.19999999999999
70,112.30000000000001
71,90.10000000000001
72,102.10000000000001
73,118.2
74,82.6
75,108.7
76,117.1
77,195.7
78,65.7
79,75.89999999999999
80,112.2
81,137.2
82,196.0
83,153.5
84,231.5
85,143.1
86,147.1
87,149.29999999999998
88,214.20000000000002
89,160.7
90,201.9
91,191.4
92,257.7
93,263.7
94,234.6
95,242.3
96,214.5
97,160.40000000000003
98,305.5
99,163.39999999999998
100,227.2
101,375.8
102,237.8
103,325.5
104,154.5
105,285.5
106,180.4
107,234.5
108,225.79999999999998
109,106.1
110,128.3
111,229.00000000000003
112,
113,274.4
114,313.40000000000003
115,404.4
116,185.5
117,294.8
118,146.39999999999998
119,156.39999999999998
120,161.20000000000002
121,217.4
122,217.1
123,273.50000000000006
124,
125,363.2
126,323.5
127,298.3
128,334.3
129,128.1
130,164.79999999999998
131,155.29999999999998
132,204.9
133,91.0
134,278.59999999999997
135,345.8
136,411.0
137,215.2
138,
139,229.6
140,392.1
141,213.5
142,196.99999999999997
143,248.20000000000002
144,251.1
145,295.6
146,346.5
147,328.0
148,329.20000000000005
149,210.0
150,213.79999999999998
151,216.1
152,95.39999999999999
153,252.8
154,295.70000000000005
155,273.2
156,237.5
157,177.3
158,464.4
159,455.8
160,475.6
161,421.5
162,372.90000000000003
163,176.2
164,247.0
165,414.6
166,334.9
167,464.9
168,184.7
169,248.50000000000003
170,111.0
171,259.0
172,117.1
173,77.6
174,124.4
175,255.50000000000003
176,353.00000000000006
177,380.99999999999994
178,403.3
179,418.79999999999995
180,285.3
181,450.0
