,행정구역,sig_cd,진짜 구급차 출동시간 표준화,기대수명 표준화,병원수 표준화,보건시설 표준화,구급차 표준화,의사수 표준화,지방소멸지수 표준화,지역별중증사망수치,정규화사망수치,emci
0,전라남도 진도군,46900,6.893049792,0.0,0.5,0.0,1.846153848,0.437810944,1.791210464,328.0,0.632978723,11.468225048
1,경상남도 합천군,48890,5.70925988,3.0,0.0,0.0,3.07692308,0.477611944,0.198816288,450.0,,12.462611192
2,경상남도 고성군,48820,6.826076664,2.038461528,0.5,0.0,1.846153848,0.31840796,1.52116224,380.99999999999994,0.460106383,13.050262240000002
3,경상남도 의령군,48720,6.857968632,4.115384616,0.0,0.0,1.230769232,0.199004976,0.662017152,124.4,0.228723404,13.065144608
4,강원도 철원군,42780,5.042618128,0.115384608,0.0,0.0,1.846153848,0.238805968,5.926777312,242.3,0.564071567,13.169739864
5,경상북도 청도군,47820,6.509050592,4.346153856,0.5,0.0,1.230769232,0.477611944,0.460261792,475.6,0.723887814,13.523847416
6,경상남도 남해군,48840,6.114387512,5.115384624000001,0.0,0.0,1.846153848,0.278606968,0.4881784,403.3,0.061895551,13.842711352000002
7,경상남도 창녕군,48740,6.74016768,2.307692304,0.5,0.0,2.461538464,0.477611944,1.5514576,353.00000000000006,0.137330754,14.038467992000001
8,충청북도 괴산군,43760,6.231889472,3.4615384560000004,0.5,0.0,3.07692308,0.31840796,0.664523264,285.5,0.459622824,14.253282232
9,경상북도 성주군,47840,6.926835344,4.73076924,0.0,0.0,1.230769232,0.398009952,1.399913312,372.90000000000003,0.147485493,14.686297080000001
10,강원도 고성군,42820,6.224215472,2.230769232,2.0,0.0,1.230769232,0.0,3.13764064,305.5,0.411266925,14.823394576000002
11,전라남도 해남군,46820,4.829340608,3.153846144,1.0,0.0,3.692307696,0.517412936,1.819193632,392.1,0.549806576,15.012101015999999
12,경상북도 영덕군,47770,6.821193208,5.384615375999999,0.0,0.0,1.846153848,0.398009952,0.600652736,455.8,0.248307544,15.050625120000001
13,전라남도 신안군,46910,5.436483912,4.423076928,0.5,0.0,3.692307696,0.597014928,0.535883936,329.20000000000005,0.627417795,15.1847674
14,전라남도 고흥군,46770,5.740454208,5.615384616,1.5,0.0,1.846153848,0.477611944,0.175137824,345.8,0.62959381,15.354742439999999
15,전라북도 진안군,45720,6.810230344,4.576923072,0.5,0.0,1.846153848,0.477611944,1.232781344,363.2,0.428675048,15.443700552
16,경상북도 의성군,47730,6.16641128,2.846153856,0.5,0.0,5.538461536,0.398009952,0.0,464.4,0.130802708,15.449036624
17,전라북도 순창군,45770,7.217351224,4.230769223999999,0.0,0.0,1.846153848,0.597014928,1.756289568,323.5,0.341634429,15.647578792
18,전라남도 완도군,46890,6.043826536,4.423076928,0.0,0.0,3.692307696,0.398009952,1.73268032,346.5,0.642166344,16.289901432
19,강원도 정선군,42770,6.643395496,2.76923076,0.5,0.0,4.307692304,0.119402984,2.119122432,234.6,0.582688588,16.458843976
20,경상북도 봉화군,47920,6.332349168,7.92307692,0.0,0.0,1.846153848,0.199004976,0.182338016,414.6,0.703336557,16.482922928
21,충청북도 옥천군,43730,6.714454784,4.692307704,0.0,0.0,2.461538464,0.398009952,2.418873792,237.8,0.574951644,16.685184696
22,충청북도 보은군,43720,6.862254112,6.65384616,0.0,0.0,1.846153848,0.477611944,0.94783472,375.8,0.241295938,16.787700784
23,전라남도 함평군,46860,6.812821568,6.692307696,0.5,0.0,1.230769232,0.63681592,0.93520992,248.20000000000002,0.312137331,16.807924336
24,충청북도 음성군,43770,4.15851304,2.115384624,0.5,0.0,3.692307696,0.358208952,6.044234208,180.4,0.713733075,16.86864852
25,경상북도 고령군,47830,7.412091536,6.346153848,0.0,0.0,1.230769232,0.31840796,1.581989152,421.5,0.55270793,16.889411728
26,전라남도 영광군,46870,6.355869496,2.846153856,0.5,0.0,2.461538464,0.716417912,4.102528544,251.1,0.356866538,16.982508272000004
27,충청남도 부여군,44760,5.904797496,7.115384616,0.0,0.0,2.461538464,0.398009952,1.26203888,313.40000000000003,0.172147002,17.141769408000002
28,경기도 가평군,41820,5.151549128,4.5,0.5,0.0,2.461538464,0.31840796,4.215681632,231.5,0.590183752,17.147177184
29,경상북도 영천시,47230,5.311507272,4.000000008,0.5,0.0,3.692307696,0.437810944,3.592408672,295.70000000000005,0.72122824,17.534034592
30,충청북도 영동군,43740,6.418457472,5.884615392,0.0,0.0,3.07692308,0.477611944,1.715990688,325.5,0.362911025,17.573598576000002
31,전라남도 보성군,46780,7.180077488,6.884615375999999,0.5,0.0,1.846153848,0.63681592,0.532187936,411.0,0.594777563,17.579850567999998
32,경상남도 함양군,48870,6.814715152,6.692307696,0.0,0.0,2.461538464,0.31840796,1.305762496,418.79999999999995,,17.592731768
33,경상남도 밀양시,48270,5.962502024,2.461538472,3.0,0.0,3.07692308,0.31840796,2.834218144,259.0,0.849129594,17.65358968
34,전라북도 고창군,45790,6.245642888,6.769230768,0.5,0.0,2.461538464,0.517412936,1.433076832,298.3,0.840183752,17.926901888
35,강원도 영월군,42750,6.691233448,4.038461544,0.5,0.0,4.307692304,0.238805968,2.235820544,263.7,0.512330754,18.012013808
36,전라남도 장흥군,46800,6.531075984,5.846153856,1.0,0.0,2.461538464,0.63681592,1.625906336,,0.633704062,18.10149056
37,경상북도 문경시,47280,5.949545912,6.038461536,0.5,0.0,2.461538464,0.477611944,2.758224928,237.5,0.04787234,18.185382783999998
38,강원도 태백시,42190,7.164231168,5.423076912,0.5,0.0,1.230769232,0.31840796,3.555717888,214.20000000000002,0.632011605,18.19220316
39,충청남도 금산군,44710,6.698209816,6.807692304,0.0,0.0,2.461538464,0.477611944,1.79013776,274.4,0.392166344,18.235190288000002
40,전라남도 장성군,46880,7.159547032,7.07692308,0.5,0.0,0.615384616,0.31840796,2.792130048,295.6,0.353965184,18.462392735999998
41,강원도 횡성군,42730,6.147475424,5.807692296,0.0,0.0,4.307692304,0.199004976,2.035687584,257.7,0.526837524,18.497552584
42,충청남도 서천군,44770,6.846906104,7.615384607999999,0.0,0.0,3.07692308,0.437810944,0.870669056,404.4,0.701402321,18.847693791999998
43,전라남도 영암군,46830,6.464999816,5.961538464,0.5,0.0,1.846153848,0.278606968,3.889657984,213.5,0.542794971,18.94095708
44,경상남도 함안군,48730,6.899328528,5.846153856,1.0,0.0,1.846153848,0.238805968,3.145463552,255.50000000000003,0.174806576,18.975905752
45,강원도 홍천군,42720,5.720422072,3.038461536,1.0,0.0,5.538461536,0.358208952,3.414123296,191.4,0.687137331,19.069677392
46,부산광역시 영도구,26200,7.992624984,2.923076928,1.5,0.0,1.846153848,0.557213928,4.457951392,312.0,0.395551257,19.277021079999997
47,전라북도 김제시,45210,6.291686912,5.615384616,1.5,0.0,2.461538464,0.557213928,3.01170592,273.50000000000006,0.271760155,19.43752984
48,경상북도 상주시,47250,5.0564712,6.730769232,1.0,0.0,4.307692304,0.437810944,2.153640928,273.2,0.027079304,19.686384608
49,경상북도 울진군,47930,6.373011424,7.461538464,0.0,0.0,2.461538464,0.358208952,3.13179552,334.9,0.549081238,19.786092824000004
50,강원도 인제군,42810,6.659540808,3.538461528,0.0,0.0,2.461538464,0.079601992,7.401451008,160.40000000000003,0.762088975,20.1405938
51,경기도 동두천시,41250,7.930634976,2.500000008,0.0,0.0,1.230769232,0.398009952,8.512919232,230.4,0.592843327,20.5723334
52,경상남도 통영시,48220,7.121077352,2.34615384,3.0,0.0,1.846153848,0.358208952,5.944014208,184.7,0.523694391,20.6156082
53,전라남도 강진군,46810,7.070947168,8.692307688,0.0,0.0,3.07692308,0.63681592,1.715340128,229.6,0.673597679,21.192333984
54,전라북도 부안군,45800,6.575525408,7.230769223999999,2.0,0.0,3.07692308,0.557213928,1.819189856,334.3,0.751450677,21.259621496
55,충청남도 보령시,44180,4.796751008,7.0384615440000005,1.0,0.0,4.307692304,0.358208952,3.996703776,225.79999999999998,0.603965184,21.497817584
56,경기도 여주시,41730,5.0238816,5.692307688,0.5,0.0,3.07692308,0.398009952,6.993723104,153.5,0.77877176,21.684845424
57,충청남도 예산군,44810,5.641987768,9.692307696,1.0,0.0,2.461538464,0.31840796,2.755879232,294.8,0.795938104,21.87012112
58,경상북도 김천시,47150,5.895130248,6.730769232,0.5,0.0,3.07692308,0.358208952,6.318143008,213.79999999999998,0.53868472,22.87917452
59,전라북도 정읍시,45180,5.779621536,7.115384616,2.0,0.0,3.692307696,0.517412936,3.79460544,217.4,0.625,22.899332224000002
60,충청남도 논산시,44230,5.783907016,6.230769239999999,1.0,0.0,4.92307692,0.716417912,4.254260864,229.00000000000003,0.59622824,22.908431951999997
61,경상남도 거창군,48880,6.764485304,9.038461536,1.0,0.0,2.461538464,0.398009952,3.448616768,285.3,,23.111112024
62,충청북도 제천시,43150,6.663128648,5.500000008,1.0,0.0,3.07692308,0.517412936,6.628751104,227.2,0.600580271,23.386215775999997
63,강원도 삼척시,42230,5.877191016,6.346153848,0.5,0.0,5.538461536,0.278606968,4.953257664,201.9,0.661750484,23.493671031999998
64,경상북도 영주시,47210,6.742260592,8.269230768,2.0,0.0,2.461538464,0.517412936,3.653313152,252.8,0.575676983,23.643755912
65,인천광역시 강화군,28710,4.890134672,11.269230768,0.5,0.0,4.92307692,0.358208952,1.859053856,215.9,0.627901354,23.799705168
66,전라남도 무안군,46840,6.366433704,3.269230776,0.5,0.0,3.07692308,0.398009952,10.54803728,196.99999999999997,0.435203095,24.158634792
67,강원도 동해시,42170,7.725230784,6.038461536,1.0,0.0,2.461538464,0.358208952,6.803835808,149.29999999999998,0.788926499,24.387275544
68,경기도 포천시,41650,5.204469856,4.115384616,1.5,0.0,6.153846152,0.31840796,7.565281856,196.0,0.676015474,24.857390439999996
69,전라북도 완주군,45710,3.651032128,9.230769239999999,0.5,0.0,4.307692304,0.358208952,6.892244832,,0.367746615,24.939947455999995
70,경상북도 예천군,47900,5.346688096,13.538461536,0.0,0.0,2.461538464,0.278606968,3.43379008,247.0,0.025870406,25.059085144
71,경상남도 사천시,48240,7.154663576,6.84615384,1.5,0.0,3.692307696,0.437810944,5.657731968,248.50000000000003,0.866779497,25.288668024
72,강원도 양구군,42800,7.472088304,7.769230776000001,1.0,0.0,1.846153848,0.31840796,6.909543968,214.5,0.631286267,25.315424856
73,충청남도 홍성군,44800,5.7391586,9.192307704000001,0.0,0.0,4.307692304,0.477611944,5.738148832,185.5,0.437137331,25.454919384
74,전라남도 담양군,46710,7.578428072,11.34615384,0.0,0.0,3.07692308,0.557213928,2.993951104,278.59999999999997,0.156189555,25.552670024
