행정구역,순위,취약인구 수(명),비율(%),시군구코드
제주특별자치도 서귀포시,1,"86,363",2.75,50130
인천광역시 중구,2,"80,271",2.55,28110
제주특별자치도 제주시,3,"75,559",2.4,50110
경상북도 경주시,4,"72,559",2.31,47130
대구광역시 달성군,5,"61,824",1.97,27710
충청북도 충주시,6,"48,604",1.55,43130
강원도 원주시,7,"45,775",1.46,42130
경기도 용인시 처인구,8,"45,343",1.44,41461
경기도 이천시,9,"44,885",1.43,41500
경기도 양평군,10,"44,688",1.42,41830
전라북도 완주군,11,"43,637",1.39,45710
경상북도 경산시,12,"43,099",1.37,47290
경기도 화성시,13,"39,572",1.26,41590
부산광역시 사하구,14,"38,841",1.24,26380
충청북도 음성군,15,"38,545",1.23,43770
경상북도 구미시,16,"36,391",1.16,47190
전라북도 익산시,17,"36,284",1.15,45140
경기도 양주시,18,"34,897",1.11,41630
충청남도 서산시,19,"34,529",1.1,44210
충청남도 아산시,20,"33,614",1.07,44200
충청북도 증평군,20,"33,696",1.07,43745
울산광역시 울주군,22,"33,162",1.06,31710
충청남도 당진시,22,"33,170",1.06,44830
충청남도 보령시,24,"32,141",1.02,44180
전라남도 해남군,25,"31,814",1.01,46820
경기도 광주시,26,"31,356",1,41610
인천광역시 강화군,27,"31,204",0.99,28710
전라북도 전주시 덕진구,28,"30,269",0.96,45113
경기도 여주시,29,"29,862",0.95,41730
강원도 평창군,30,"29,585",0.94,42760
경상북도 상주시,30,"29,535",0.94,47250
강원도 철원군,30,"29,674",0.94,42780
경기도 가평군,33,"28,581",0.91,41820
경기도 포천시,34,"28,050",0.89,41650
경상북도 안동시,35,"27,613",0.88,47170
충청남도 태안군,36,"27,425",0.87,44825
충청남도 공주시,36,"27,178",0.87,44150
경상북도 영천시,38,"26,976",0.86,47230
경상북도 예천군,39,"26,623",0.85,47900
경상남도 하동군,39,"26,756",0.85,48850
경기도 고양시 덕양구,41,"26,483",0.84,41281
전라남도 신안군,42,"25,722",0.82,46910
충청남도 계룡시,43,"25,340",0.81,44250
경기도 안성시,44,"24,792",0.79,41550
충청남도 예산군,45,"23,660",0.75,44810
경상남도 합천군,46,"22,985",0.73,48890
강원도 홍천군,46,"22,873",0.73,42720
충청남도 홍성군,48,"22,685",0.72,44800
전라남도 고흥군,48,"22,672",0.72,46770
충청남도 논산시,50,"22,236",0.71,44230
전라북도 정읍시,50,"22,279",0.71,45180
경상남도 진주시,52,"22,061",0.7,48170
강원도 양양군,52,"22,106",0.7,42830
강원도 삼척시,54,"21,300",0.68,42230
경상북도 김천시,55,"21,120",0.67,47150
충청남도 부여군,55,"21,023",0.67,44760
경상북도 포항시 남구,57,"20,821",0.66,47111
경상남도 밀양시,58,"20,444",0.65,48270
경상북도 문경시,58,"20,574",0.65,47280
경기도 파주시,60,"20,021",0.64,41480
전라남도 여수시,61,"19,834",0.63,46130
전라남도 완도군,62,"19,628",0.62,46890
충청남도 천안시 동남구,63,"19,068",0.61,44131
경상남도 남해군,64,"18,920",0.6,48840
강원도 횡성군,65,"18,588",0.59,42730
경상북도 의성군,65,"18,398",0.59,47730
강원도 고성군,67,"17,818",0.57,42820
인천광역시 옹진군,67,"17,783",0.57,28720
충청북도 괴산군,69,"17,741",0.56,43760
전라북도 고창군,69,"17,603",0.56,45790
경상북도 포항시 북구,71,"17,136",0.55,47113
전라북도 김제시,71,"17,141",0.55,45210
경상남도 산청군,73,"16,895",0.54,48860
경기도 김포시,73,"16,861",0.54,41570
경상북도 봉화군,75,"16,733",0.53,47920
전라남도 영광군,75,"16,497",0.53,46870
전라남도 무안군,77,"16,391",0.52,46840
경상북도 울진군,77,"16,325",0.52,47930
경상북도 청송군,79,"15,884",0.51,47750
충청북도 진천군,79,"16,076",0.51,43750
충청북도 영동군,79,"15,869",0.51,43740
전라북도 남원시,82,"15,856",0.5,45190
전라남도 순천시,83,"15,543",0.49,46150
전라남도 영암군,83,"15,402",0.49,46830
경상북도 청도군,85,"14,960",0.48,47820
세종특별자치시 세종시,85,"15,184",0.48,36110
전라남도 장흥군,87,"14,739",0.47,46800
충청북도 청주시 상당구,88,"14,033",0.45,43111
전라북도 부안군,88,"14,293",0.45,45800
충청남도 청양군,88,"14,002",0.45,44790
강원도 춘천시,88,"14,153",0.45,42110
강원도 정선군,92,"13,612",0.43,42770
강원도 인제군,92,"13,450",0.43,42810
충청북도 제천시,92,"13,414",0.43,43150
전라남도 나주시,95,"13,173",0.42,46170
충청남도 금산군,95,"13,062",0.42,44710
경상남도 창원시 마산합포구,95,"13,060",0.42,48125
강원도 영월군,95,"13,132",0.42,42750
경상남도 거제시,95,"13,234",0.42,48310
충청북도 옥천군,100,"12,899",0.41,43730
전라남도 화순군,101,"12,663",0.4,46790
경상북도 영주시,101,"12,620",0.4,47210
경상남도 창녕군,101,"12,641",0.4,48740
경기도 남양주시,104,"12,332",0.39,41360
경상남도 거창군,104,"12,397",0.39,48880
전라북도 진안군,106,"11,938",0.38,45720
전라남도 함평군,106,"11,912",0.38,46860
경상남도 함양군,106,"11,893",0.38,48870
경상북도 영덕군,106,"11,828",0.38,47770
충청남도 서천군,110,"11,570",0.37,44770
경상남도 고성군,110,"11,779",0.37,48820
경상남도 의령군,112,"11,459",0.36,48720
경기도 연천군,112,"11,328",0.36,41800
전라북도 무주군,112,"11,196",0.36,45730
충청북도 보은군,112,"11,416",0.36,43720
전라북도 전주시 완산구,116,"11,137",0.35,45111
전라남도 진도군,116,"11,107",0.35,46900
경상남도 함안군,116,"11,044",0.35,48730
경상북도 성주군,119,"10,768",0.34,47840
강원도 화천군,119,"10,836",0.34,42790
경상북도 군위군,119,"10,685",0.34,47720
전라북도 군산시,122,"10,315",0.33,45130
충청북도 단양군,123,"10,063",0.32,43800
강원도 강릉시,123,"9,957",0.32,42150
전라북도 장수군,125,"9,707",0.31,45740
전라북도 임실군,126,"9,554",0.3,45750
전라남도 곡성군,126,"9,498",0.3,46720
전라남도 강진군,126,"9,322",0.3,46810
경상남도 통영시,129,"8,819",0.28,48220
전라남도 장성군,130,"8,433",0.27,46880
경상남도 사천시,130,"8,482",0.27,48240
경기도 안산시 단원구,130,"8,386",0.27,41273
강원도 태백시,130,"8,386",0.27,42190
전라남도 보성군,134,"8,227",0.26,46780
전라남도 광양시,135,"7,829",0.25,46230
전라북도 순창군,135,"7,853",0.25,45770
경상북도 영양군,137,"7,309",0.23,47760
경상남도 김해시,138,"6,607",0.21,48250
충청남도 천안시 서북구,139,"5,857",0.19,44133
경상북도 고령군,139,"5,899",0.19,47830
강원도 양구군,141,"5,297",0.17,42800
대구광역시 동구,142,"4,719",0.15,27140
경상북도 칠곡군,142,"4,704",0.15,47850
충청북도 청주시 청원구,144,"4,382",0.14,43114
경기도 하남시,144,"4,259",0.14,41450
전라남도 구례군,146,"4,141",0.13,46730
전라남도 담양군,146,"4,230",0.13,46710
인천광역시 연수구,148,"3,634",0.12,28185
경상남도 양산시,149,"3,288",0.1,48330
경기도 평택시,149,"3,152",0.1,41220
강원도 동해시,151,"2,757",0.09,42170
대전광역시 서구,151,"2,741",0.09,30170
광주광역시 광산구,153,"2,495",0.08,29200
충청북도 청주시 서원구,154,"2,330",0.07,43112
경상남도 창원시 의창구,154,"2,322",0.07,48121
대전광역시 동구,156,"1,996",0.06,30110
경상북도 울릉군,157,"1,430",0.05,47940
울산광역시 북구,158,"1,403",0.04,31200
경기도 의왕시,159,829,0.03,41430
경기도 성남시 수정구,159,971,0.03,41131
대전광역시 유성구,159,"1,023",0.03,30200
부산광역시 기장군,159,851,0.03,26710
광주광역시 북구,159,865,0.03,29170
충청북도 청주시 흥덕구,159,807,0.03,43113
경상남도 창원시 진해구,165,639,0.02,48129
대전광역시 중구,165,774,0.02,30140
경기도 수원시 영통구,165,627,0.02,41117
경기도 동두천시,165,696,0.02,41250
대전광역시 대덕구,165,544,0.02,30230
부산광역시 강서구,165,636,0.02,26440
경기도 수원시 장안구,171,291,0.01,41111
광주광역시 남구,171,440,0.01,29155
경기도 용인시 수지구,171,398,0.01,41465
경기도 고양시 일산동구,171,451,0.01,41285
전라남도 목포시,171,424,0.01,46110
울산광역시 중구,176,0,0,31110
경기도 수원시 팔달구,176,0,0,41115
경기도 시흥시,176,4,0,41390
부산광역시 연제구,176,0,0,26470
경기도 안산시 상록구,176,0,0,41271
경기도 안양시 동안구,176,0,0,41173
경기도 오산시,176,0,0,41370
경기도 용인시 기흥구,176,2,0,41463
부산광역시 영도구,176,74,0,26200
경기도 의정부시,176,21,0,41150
부산광역시 중구,176,0,0,26110
부산광역시 해운대구,176,2,0,26350
서울특별시 강남구,176,0,0,11680
경기도 안양시 만안구,176,0,0,41171
부산광역시 수영구,176,140,0,26500
경기도 성남시 중원구,176,0,0,41133
서울특별시 강동구,176,0,0,11740
부산광역시 금정구,176,131,0,26410
부산광역시 남구,176,0,0,26290
부산광역시 동구,176,0,0,26170
강원도 속초시,176,29,0,42210
부산광역시 동래구,176,0,0,26260
부산광역시 부산진구,176,0,0,26230
경기도 고양시 일산서구,176,0,0,41287
경기도 수원시 권선구,176,0,0,41113
경기도 과천시,176,0,0,41290
경기도 구리시,176,0,0,41310
경기도 군포시,176,0,0,41410
부산광역시 북구,176,0,0,26320
경기도 부천시,176,0,0,41190
경기도 성남시 분당구,176,125,0,41135
부산광역시 사상구,176,0,0,26530
부산광역시 서구,176,0,0,26140
경기도 광명시,176,0,0,41210
서울특별시 강북구,176,0,0,11305
서울특별시 관악구,176,0,0,11620
