,요양기관명,종별코드명,시도코드명,시군구코드명,주소,좌표(X),좌표(Y),시군구,시군구 코드
0,가톨릭대학교인천성모병원,상급종합,인천,인천부평구,인천광역시 부평구 동수로 56 (부평동),126.7248987,37.4848309,인천광역시 부평구,28237
1,강릉아산병원,상급종합,강원,강릉시,강원도 강릉시 사천면 방동길 38 (),128.8578411,37.8184325,강원도 강릉시,42820
2,강북삼성병원,상급종합,서울,종로구,서울특별시 종로구 새문안로 29 (평동),126.96775,37.5684083,서울특별시 종로구,11110
3,건국대학교병원,상급종합,서울,광진구,서울특별시 광진구 능동로 120-1 (화양동),127.0718276,37.5403764,서울특별시 광진구,11215
4,경북대학교병원,상급종합,대구,대구중구,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",128.604703,35.8662525,대구광역시 중구,27110
5,경상국립대학교병원,상급종합,경남,진주시,경상남도 진주시 강남로 79 (칠암동),128.0956717,35.1763252,경상남도 진주시,48170
6,경희대학교병원,상급종합,서울,동대문구,서울특별시 동대문구 경희대로 23 (회기동),127.051852,37.5941195,서울특별시 동대문구,11230
7,계명대학교동산병원,상급종합,대구,대구달서구,대구광역시 달서구 달구벌대로 1035 (신당동),128.4801315,35.8538856,대구광역시 달서구,27290
8,고려대학교의과대학부속구로병원,상급종합,서울,구로구,서울특별시 구로구 구로동로 148 고려대부속구로병원 (구로동),126.8848701,37.492052,서울특별시 구로구,11530
9,고려대학교의과대학부속안산병원,상급종합,경기,안산단원구,경기도 안산시 단원구 적금로 123 (고잔동),126.8249033,37.3185144,경기도 안산시 단원구,41273
10,단국대학교의과대학부속병원,상급종합,충남,천안동남구,충청남도 천안시 동남구 망향로 201  (안서동),127.172575,36.8415904,충청남도 천안시 동남구,44131
11,대구가톨릭대학교병원,상급종합,대구,대구남구,대구광역시 남구 두류공원로17길 33 (대명동),128.5679969,35.8436078,대구광역시 남구,27200
12,동아대학교병원,상급종합,부산,부산서구,부산광역시 서구 대신공원로 26 (동대신동3가),129.0175391,35.1201682,부산광역시 서구,26140
13,부산대학교병원,상급종합,부산,부산서구,부산광역시 서구 구덕로 179 (아미동1가),129.0188032,35.1008477,부산광역시 서구,26140
14,분당서울대학교병원,상급종합,경기,성남분당구,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원)",127.1232509,37.3519807,경기도 성남시 분당구,41135
15,삼성서울병원,상급종합,서울,강남구,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",127.0851508,37.4882977,서울특별시 강남구,11680
16,서울대학교병원,상급종합,서울,종로구,서울특별시 종로구 대학로 101 (연건동),126.9990168,37.5797151,서울특별시 종로구,11110
17,순천향대학교부속 천안병원,상급종합,충남,천안동남구,"충청남도 천안시 동남구 순천향6길 31  5동 (봉명동,순천향대학교병원)",127.1358588,36.8027381,충청남도 천안시 동남구,44131
18,순천향대학교부속부천병원,상급종합,경기,부천시,경기도 부천시 조마루로 170 (중동),126.7629626,37.4986998,경기도 부천시,41190
19,아주대학교병원,상급종합,경기,수원영통구,경기도 수원시 영통구 월드컵로 164 (원천동),127.0476764,37.2793927,경기도 수원시 영통구,41117
20,양산부산대학교병원,상급종합,경남,양산시,경상남도 양산시 물금읍 금오로 20 (),129.0057274,35.3281501,경상남도 양산시,48330
21,연세대학교 원주세브란스기독병원,상급종합,강원,원주시,강원도 원주시 일산로 20-0  (일산동),127.9456639,37.3490013,강원도 원주시,42130
22,연세대학교의과대학 강남세브란스병원,상급종합,서울,강남구,서울특별시 강남구 언주로 211 강남세브란스병원 (도곡동),127.0462683,37.4929296,서울특별시 강남구,11680
23,연세대학교의과대학세브란스병원,상급종합,서울,서대문구,서울특별시 서대문구 연세로 50-1 (신촌동),126.9408265,37.5623446,서울특별시 서대문구,11410
24,영남대학교병원,상급종합,대구,대구남구,대구광역시 남구 현충로 170 (대명동),128.58205,35.848107,대구광역시 남구,27200
25,원광대학교병원,상급종합,전북,익산시,전라북도 익산시 무왕로 895 (신동),126.9595793,35.9646389,전라북도 익산시,45140
26,의료법인 길의료재단 길병원,상급종합,인천,인천남동구,인천광역시 남동구 남동대로774번길 21-0 의료법인길의료재단길병원,126.7092258,37.452171,인천광역시 남동구,28200
27,이화여자대학교의과대학부속목동병원,상급종합,서울,양천구,서울특별시 양천구 안양천로 1071 (목동),126.8862379,37.5362859,서울특별시 양천구,11470
28,인제대학교부산백병원,상급종합,부산,부산진구,"부산광역시 부산진구 복지로 75, 진사로83번길 75 진사로83번길 81, 1층(일부), 3층 (개금동)",129.0208609,35.1455173,부산광역시 부산진구,26230
29,인하대학교의과대학부속병원,상급종합,인천,인천중구,인천광역시 중구 인항로 27 (신흥동3가),126.6340955,37.4586786,인천광역시 중구,28110
30,재단법인아산사회복지재단 서울아산병원,상급종합,서울,송파구,서울특별시 송파구 올림픽로43길 88 서울아산병원 (풍납동),127.107935,37.5265762,서울특별시 송파구,11710
31,전남대학교병원,상급종합,광주,광주동구,광주광역시 동구 제봉로 42  (학동),126.9215805,35.1418094,광주광역시 동구,29110
32,전북대학교병원,상급종합,전북,전주덕진구,전라북도 전주시 덕진구 건지로 20  (금암동),127.1411626,35.8470974,전라북도 전주시 덕진구,45113
33,조선대학교병원,상급종합,광주,광주동구,광주광역시 동구 필문대로 365  (학동),126.9261468,35.1390538,광주광역시 동구,29110
34,중앙대학교병원,상급종합,서울,동작구,서울특별시 동작구 흑석로 102 (흑석동),126.9607839,37.5067481,서울특별시 동작구,11590
35,충남대학교병원,상급종합,대전,대전중구,대전광역시 중구 문화로 282 (대사동),127.415363,36.316908,대전광역시 중구,30140
36,충북대학교병원,상급종합,충북,청주서원구,충청북도 청주시 서원구 1순환로 776-0 충북대학교병원,127.4614843,36.6242237,충청북도 청주시,43110
37,칠곡경북대학교병원,상급종합,대구,대구북구,대구광역시 북구 호국로 807 칠곡경북대학교병원(임살실습동 1~11층 포함) (학정동),128.5646727,35.9564207,대구광역시 북구,27230
38,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),상급종합,서울,성북구,서울특별시 성북구 고려대로 73 고려대병원 (안암동5가),127.0263537,37.5870165,서울특별시 성북구,11290
39,학교법인 울산공업학원 울산대학교병원,상급종합,울산,울산동구,울산광역시 동구 대학병원로 25 울산대학교병원 (전하동),129.4289116,35.5200702,울산광역시 동구,31170
40,학교법인가톨릭학원가톨릭대학교서울성모병원,상급종합,서울,서초구,서울특별시 서초구 반포대로 222 (반포동),127.0051154,37.5009444,서울특별시 서초구,11650
41,학교법인성균관대학삼성창원병원,상급종합,경남,창원마산회원구,"경상남도 창원시 마산회원구 팔용로 158-158 (합성동, 삼성창원병원)",128.5920245,35.2428774,경상남도 창원시 마산회원구,48127
42,한림대학교성심병원,상급종합,경기,안양동안구,경기도 안양시 동안구 관평로170번길 22 (평촌동),126.9620529,37.3917575,경기도 안양시 동안구,41173
43,한양대학교병원,상급종합,서울,성동구,서울특별시 성동구 왕십리로 222-1 (사근동),127.0441339,37.5596569,서울특별시 성동구,11200
44,화순전남대학교병원,상급종합,전남,화순군,전라남도 화순군 화순읍 서양로 322 (),127.0025,35.0594333,전라남도 화순군,46790
45,(의)나사렛의료재단 나사렛국제병원,종합병원,인천,인천연수구,인천광역시 연수구 먼우금로 98-   (동춘동),126.6704928,37.407958,인천광역시 연수구,28185
46,(의)성세의료재단 뉴성민병원,종합병원,인천,인천서구,인천광역시 서구 신석로 70 (석남동),126.6698519,37.5097753,인천광역시 서구,28260
47,(의)영문의료재단 다보스병원,종합병원,경기,용인처인구,경기도 용인시 처인구 백옥대로1082번길 18 다보스종합병원 (김량장동),127.2114648,37.2314883,경기도 용인시 처인구,41461
48,(재)미리내천주성삼성직수도회천주성삼병원,종합병원,대구,대구수성구,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",128.7057102,35.8402518,대구광역시 수성구,27290
49,KS병원,종합병원,광주,광주광산구,광주광역시 광산구 왕버들로 220 (수완동),126.8331484,35.1979238,광주광역시 광산구,29200
50,가톨릭관동대학교 국제성모병원,종합병원,인천,인천서구,인천광역시 서구 심곡로100번길 25-0 인천국제성모병원,126.6836103,37.5424165,인천광역시 서구,28260
51,가톨릭대학교 성빈센트병원,종합병원,경기,수원팔달구,경기도 수원시 팔달구 중부대로 93 (지동),127.0274271,37.2779855,경기도 수원시 팔달구,41115
52,가톨릭대학교 여의도성모병원,종합병원,서울,영등포구,서울특별시 영등포구 63로 10 여의도성모병원 (여의도동),126.9367517,37.5183253,서울특별시 영등포구,11560
53,가톨릭대학교 은평성모병원,종합병원,서울,은평구,서울특별시 은평구 통일로 1021 (진관동),126.9161912,37.6334945,서울특별시 은평구,11380
54,가톨릭대학교부천성모병원,종합병원,경기,부천시,경기도 부천시 소사구 327 가톨릭대학교 부천성모병원 (소사동),126.7924167,37.4871165,경기도 부천시 소사구,41197
55,가톨릭대학교의정부성모병원,종합병원,경기,의정부시,경기도 의정부시 천보로 271 의정부성모병원 (금오동),127.0777625,37.7587045,경기도 의정부시,41150
56,강남병원,종합병원,경기,용인기흥구,경기도 용인시 기흥구 중부대로 411 강남병원 (신갈동),127.1115072,37.2737515,경기도 용인시 기흥구,41463
57,강남병원,종합병원,대구,대구동구,대구광역시 동구 동촌로 207 강남병원 (방촌동),128.6634475,35.8829108,대구광역시 동구,27140
58,강동경희대학교의대병원,종합병원,서울,강동구,서울특별시 강동구 동남로 892 (상일동),127.1576732,37.5535361,서울특별시 강동구,11740
59,강원대학교병원,종합병원,강원,춘천시,강원도 춘천시 백령로 156 (효자동),127.744891,37.8751611,강원도 춘천시,42110
60,강원도 삼척의료원,종합병원,강원,삼척시,강원도 삼척시 오십천로 418-0 삼척의료원,129.1638017,37.4403018,강원도 삼척시,42230
61,강원도 영월의료원,종합병원,강원,영월군,강원도 영월군 영월읍 중앙1로 59 (영월읍),128.4652388,37.1864525,강원도 영월군,42750
62,강원도 원주의료원,종합병원,강원,원주시,강원도 원주시 서원대로 387  (개운동),127.949225,37.332608,강원도 원주시,42130
63,강원도강릉의료원,종합병원,강원,강릉시,강원도 강릉시 경강로 2007 2007,128.8888317,37.7492828,강원도 강릉시,42820
64,강원도속초의료원,종합병원,강원,속초시,강원도 속초시 영랑호반길 3 (영랑동),128.5892485,38.2164607,강원도 속초시,42210
65,강일병원,종합병원,경남,김해시,경상남도 김해시 가락로 359 (구산동),128.8696709,35.2566817,경상남도 김해시,48250
66,건국대학교 충주병원,종합병원,충북,충주시,충청북도 충주시 국원대로 82-0 건국대학교충주병원,127.9288169,36.9789801,충청북도 충주시,43130
67,검단탑병원,종합병원,인천,인천서구,인천광역시 서구 청마로19번길 5-  (당하동),126.6711792,37.5924835,인천광역시 서구,28260
68,경기도의료원 수원병원,종합병원,경기,수원장안구,경기도 수원시 장안구 수성로245번길 69 (정자동),126.9963375,37.2918917,경기도 수원시 장안구,41111
69,경기도의료원 안성병원,종합병원,경기,안성시,경기도 안성시 남파로 95 경기도의료원 안성병원 (당왕동),127.2603668,37.0173531,경기도 안성시,41550
70,경기도의료원 이천병원,종합병원,경기,이천시,경기도 이천시 경충대로 2742 (관고동),127.4330563,37.2828595,경기도 이천시,41500
71,경기도의료원의정부병원,종합병원,경기,의정부시,경기도 의정부시 흥선로 142 (의정부동),127.0425004,37.741161,경기도 의정부시,41150
72,경기도의료원파주병원,종합병원,경기,파주시,경기도 파주시 중앙로 207 경기도립의료원파주병원 (금촌동),126.7801503,37.7550649,경기도 파주시,41480
73,경기도의료원포천병원,종합병원,경기,포천시,경기도 포천시 포천로 1648 (신읍동),127.19828,37.9033163,경기도 포천시,41650
74,경상남도마산의료원,종합병원,경남,창원마산합포구,경상남도 창원시 마산합포구 3·15대로 231 (중앙동3가),128.5655967,35.1992371,경상남도 창원시 마산합포구,48125
75,경상북도김천의료원,종합병원,경북,김천시,경상북도 김천시 모암길 24  (모암동),128.1264391,36.1227232,경상북도 김천시,47150
76,경상북도안동의료원,종합병원,경북,안동시,경상북도 안동시 태사2길 55  (북문동),128.7321116,36.5682206,경상북도 안동시,47170
77,경상북도포항의료원,종합병원,경북,포항북구,경상북도 포항시 북구 용흥로 36  (용흥동),129.3549409,36.0348814,경상북도 포항시 북구,47113
78,경찰병원,종합병원,서울,송파구,서울특별시 송파구 송이로 123 국립경찰병원 (가락동),127.123509,37.4963836,서울특별시 송파구,11710
79,계명대학교대구동산병원,종합병원,대구,대구중구,대구광역시 중구 달성로 56 계명대학교대구동산병원 (동산동),128.5831323,35.8694728,대구광역시 중구,27110
80,고신대학교복음병원,종합병원,부산,부산서구,부산광역시 서구 감천로 262 (암남동),129.0139595,35.0809636,부산광역시 서구,26140
81,곽병원,종합병원,대구,대구중구,대구광역시 중구 국채보상로 531 (수동),128.5885849,35.8710213,대구광역시 중구,27110
82,광명성애병원,종합병원,경기,광명시,경기도 광명시 디지털로 36 광명성애병원 (철산동),126.8713502,37.4736659,경기도 광명시,41210
83,광양사랑병원,종합병원,전남,광양시,전라남도 광양시 공영로 71  (중동),127.6969657,34.9361846,전라남도 광양시,46230
84,광주기독병원,종합병원,광주,광주남구,광주광역시 남구 양림로 37  (양림동),126.911875,35.136665,광주광역시 남구,29155
85,광주병원,종합병원,광주,광주북구,광주광역시 북구 면앙로139번길 51  (두암동),126.9281408,35.178903,광주광역시 북구,29170
86,광주보훈병원,종합병원,광주,광주광산구,광주광역시 광산구 첨단월봉로 99  (산월동),126.849672,35.2079032,광주광역시 광산구,29200
87,광주센트럴병원,종합병원,광주,광주광산구,"광주광역시 광산구 수완로 6-0  A,B,C동 (신가동)",126.8292553,35.1854695,광주광역시 광산구,29200
88,광주수완병원,종합병원,광주,광주광산구,광주광역시 광산구 임방울대로 370  (수완동),126.8241888,35.193096,광주광역시 광산구,29200
89,광주씨티병원,종합병원,광주,광주남구,광주광역시 남구 서문대로654번길 5  (진월동),126.8994848,35.1177147,광주광역시 남구,29155
90,광주일곡병원,종합병원,광주,광주북구,광주광역시 북구 양일로 309  (일곡동),126.8976135,35.2028543,광주광역시 북구,29170
91,광주한국병원,종합병원,광주,광주서구,광주광역시 서구 월드컵4강로 223  (쌍촌동),126.8688164,35.1562166,광주광역시 서구,29140
92,광주현대병원,종합병원,광주,광주북구,광주광역시 북구 설죽로 291  (용봉동),126.897925,35.185676,광주광역시 북구,29170
