,시군구 코드,데이터 개수,시군구 ,2023년03월_계_총인구수
0,27290,41,대구광역시 달서구,536483
1,11680,37,서울특별시 강남구,532798
2,29170,32,광주광역시 북구,423723
3,48250,28,경상남도 김해시,533541
4,29140,27,광주광역시 서구,286826
5,30170,26,대전광역시 서구,469386
6,29200,25,광주광역시 광산구,399149
7,45111,25,전라북도 전주시 완산구,330880
8,46150,24,전라남도 순천시,278649
9,11710,24,서울특별시 송파구,658006
10,31140,23,울산광역시 남구,309906
11,27230,23,대구광역시 북구,428117
12,46110,22,전라남도 목포시,215956
13,44133,21,충청남도 천안시 서북구,400408
14,26230,21,부산광역시 부산진구,357626
15,11500,21,서울특별시 강서구,568287
16,26260,21,부산광역시 동래구,273195
17,41190,21,경기도 부천시,787813
18,26380,20,부산광역시 사하구,301929
19,42130,20,강원도 원주시,360752
20,41150,18,경기도 의정부시,462637
21,11740,18,서울특별시 강동구,459982
22,48170,18,경상남도 진주시,342923
23,41570,18,경기도 김포시,484514
24,11230,17,서울특별시 동대문구,337574
25,41360,17,경기도 남양주시,735649
26,41590,17,경기도 화성시,922231
27,11260,16,서울특별시 중랑구,385003
28,29155,16,광주광역시 남구,211563
29,11560,16,서울특별시 영등포구,376614
30,30200,15,대전광역시 유성구,358798
31,41220,15,경기도 평택시,583029
32,41273,15,경기도 안산시 단원구,296102
33,28260,15,인천광역시 서구,598675
34,28177,15,인천광역시 미추홀구,404867
35,41480,15,경기도 파주시,496450
36,26350,15,부산광역시 해운대구,384866
37,28200,14,인천광역시 남동구,502526
38,27110,14,대구광역시 중구,82835
39,41135,14,경기도 성남시 분당구,479746
40,41115,14,경기도 수원시 팔달구,193363
41,11650,14,서울특별시 서초구,404831
42,48330,13,경상남도 양산시,353816
43,41285,13,경기도 고양시 일산동구,293752
44,26470,13,부산광역시 연제구,203115
45,41117,12,경기도 수원시 영통구,361841
46,48121,12,경상남도 창원시 의창구,215217
47,11380,12,서울특별시 은평구,464871
48,11620,12,서울특별시 관악구,487815
49,28237,12,인천광역시 부평구,490430
50,48125,12,경상남도 창원시 마산합포구,178781
51,47130,11,경상북도 경주시,248794
52,41173,11,경기도 안양시 동안구,250698
53,41281,11,경기도 고양시 덕양구,495181
54,48123,11,경상남도 창원시 성산구,247396
55,26410,11,부산광역시 금정구,219936
56,26320,11,부산광역시 북구,277756
57,48127,11,경상남도 창원시 마산회원구,182699
58,41370,10,경기도 오산시,229247
59,11305,10,서울특별시 강북구,292762
60,43113,10,충청북도 청주시 흥덕구,269349
61,47113,10,경상북도 포항시 북구,267817
62,46130,10,전라남도 여수시,273917
63,50110,10,제주도 제주시,492593
64,11530,10,서울특별시 구로구,395183
65,41310,9,경기도 구리시,188709
66,48310,9,경상남도 거제시,235350
67,41390,9,경기도 시흥시,517336
68,26530,9,부산광역시 사상구,203455
69,11350,9,서울특별시 노원구,502515
70,27140,9,대구광역시 동구,338782
71,41113,9,경기도 수원시 권선구,367618
72,45140,9,전라북도 익산시,272602
73,45130,9,전라북도 군산시,261601
74,26500,9,부산광역시 수영구,175388
75,28245,9,인천광역시 계양구,286390
76,48129,9,경상남도 창원시 진해구,193180
77,27200,9,대구광역시 남구,141631
78,41463,8,경기도 용인시 기흥구,436881
79,26170,8,부산광역시 동구,85839
80,29110,8,광주광역시 동구,106247
81,11470,8,서울특별시 양천구,439219
82,44200,8,충청남도 아산시,336690
83,41131,8,경기도 성남시 수정구,229199
84,27170,8,대구광역시 서구,158546
85,47290,7,경상북도 경산시,267717
86,41287,7,경기도 고양시 일산서구,288976
87,41450,7,경기도 하남시,326768
88,26440,7,부산광역시 강서구,142935
89,47190,7,경상북도 구미시,407044
90,26290,7,부산광역시 남구,256332
91,41461,7,경기도 용인시 처인구,258718
92,45113,7,전라북도 전주시 덕진구,317107
93,11290,7,서울특별시 성북구,430100
94,11410,7,서울특별시 서대문구,308437
95,43111,7,충청북도 청주시 상당구,197607
96,44131,7,충청남도 천안시 동남구,257408
97,48270,7,경상남도 밀양시,102707
98,11590,7,서울특별시 동작구,380201
99,48220,7,경상남도 통영시,121903
100,31110,7,울산광역시 중구,207028
101,41271,7,경기도 안산시 상록구,342162
102,47170,6,경상북도 안동시,153993
103,41630,6,경기도 양주시,122661
