소방서명,구급차 대수,주소,시군구 코드
강원도 강릉소방서,10,강원도 강릉시 선수촌로 64-28(홍제동),42150
강원도 고성소방서,4,강원도 고성군 간성읍 수성로 37-11,42820
강원도 동해소방서,6,강원도 동해시 천곡로 120(천곡동),42170
강원도 삼척소방서,11,강원도 삼척시 봉황로 101,42230
강원도 속초소방서,4,강원도 속초시 미시령로 3226,42210
강원도 양구소방서,5,강원도 양구군 양구읍 중심로 92,42800
강원도 양양소방서,3,강원도 양양군 양양읍 남대천로 33,42830
강원도 영월소방서,9,강원도 영월군 영월읍 영월로 1863,42750
강원도 원주소방서,15,강원도 원주시 동부순환로 201(반곡동),42130
강원도 인제소방서,6,강원도 인제군 인제읍 비봉로 44번길 71,42810
강원도 정선소방서,9,강원도 정선군 정선읍 녹송로 27,42770
강원도 철원소방서,5,강원도 철원군 갈말읍 태봉로 1504,42780
강원도 춘천소방서,11,강원도 춘천시 후석로 446(후평동),42110
강원도 태백소방서,4,강원도 태백시 태백로 1120(황지동),42190
강원도 평창소방서,8,강원도 평창군 평창읍 살구실길 10,42760
강원도 홍천소방서,11,강원도 홍천군 홍천읍 공작산로 99,42720
강원도 화천소방서,4,강원도 화천군 위라리길 47,42790
강원도 횡성소방서,9,강원도 횡성군 횡성읍 문예로 157,42730
경기도 가평소방서,6,경기도 가평군 가평읍 가화로 36,41820
경기도 고양소방서,7,경기도 고양시 덕양구 고양대로 1342,41281
경기도 과천소방서,3,경기도 과천시 통영로 12,41290
경기도 광명소방서,5,경기도 광명시 금하로 472,41210
경기도 광주소방서,9,경기도 광주시 초월읍 무들로 112 광주소방서,41610
경기도 구리소방서,4,경기도 구리시 아차산로487번길 46,41310
경기도 군포소방서,5,경기도 군포시 고산로 429,41410
경기도 김포소방서,11,경기도 김포시 감암로 111,41570
경기도 남양주소방서,12,경기도 남양주시 평내동 평내로 25,41360
경기도 동두천소방서,4,경기도 동두천시 지행로 6,41250
경기도 부천소방서,11,경기도 부천시 신흥로 115 ,41190
경기도 분당소방서,9,경기도 성남시 분당구 양현로 14,41135
경기도 성남소방서,9,경기도 성남시 수정구 제일로 111,41131
경기도 송탄소방서,7,경기도 평택시 경기대로 1627(신장동),41220
경기도 수원남부소방서,11,경기도 수원시 권선구 동수원로 286,41113
경기도 수원소방서,10,경기도 수원시 정자천로189번길 12,41110
경기도 시흥소방서,8,경기도 시흥시 정왕신길로 206,41390
경기도 안산소방서,13,경기도 안산시 단원구 화랑로 407,41273
경기도 안성소방서,8,경기도 안성시 미양로 855 ,41550
경기도 안양소방서,8,경기도 안양시 동안구 관평로212번길 32(관양동),41170
경기도 양주소방서,9,경기도 양주시 꿈나무로 156,41630
경기도 양평소방서,9,경기도 양평군 양평읍 경강로 2047 ,41830
경기도 여주소방서,7,경기도 여주시 우암로 110,41730
경기도 연천소방서,6,경기도 연천군 전곡읍 평화로 892,41800
경기도 오산소방서,5,경기도 오산시 문헌공로 30,41370
경기도 용인소방서,18,경기도 용인시 처인구 명지로 45,41461
경기도 의왕소방서,4,경기도 의왕시 오봉로 9 ,41430
경기도 의정부소방서,10,경기도 의정부시 금오로23번길 22-40,41150
