"성별(1)","연령별(1)",2014,2015,2016,2017,2018,2019,2020,2021
"성별(1)","연령별(1)",계,계,계,계,계,계,계,계
"전체","계",93670,94813,102529,111727,113455,120584,112874,120305
"남자","계",51385,52077,56339,61925,62853,67107,63320,66927
"남자","60~69세",11760,12292,13230,14760,15297,16454,16062,17923
"남자","70~79세",14228,14125,14887,16370,16559,17544,16408,17047
"남자","80세 이상",6317,6740,7856,9367,10214,11593,11508,12494
"여자","계",42285,42736,46190,49802,50602,53477,49554,53378
"여자","60~69세",7288,7476,8064,8540,8444,8983,8528,9319
"여자","70~79세",14257,13761,14331,15147,15056,15360,13747,14564
"여자","80세 이상",10786,11603,13285,14988,16261,18025,17566,19327
