"행정구역별(읍면동)","연령별",2015,2016,2017,2018,2019,2020,2021
"행정구역별(읍면동)","연령별",총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명),총인구(명)
"전국","합계",51069375,51269554,51422507,51629512,51779203,51829136,51738071
"전국","65세이상",6617378,6826568,7171227,7455149,7816991,8287243,8706561
"서울특별시","합계",9904312,9805506,9741871,9673936,9639541,9586195,9472127
"서울특별시","65세이상",1221006,1247946,1310065,1356475,1419947,1499448,1564390
"부산광역시","합계",3448737,3440484,3416918,3395278,3372692,3349016,3324335
"부산광역시","65세이상",500805,523738,550734,573795,602719,638890,670108
"대구광역시","합계",2466052,2461002,2453041,2444412,2429940,2410700,2387911
"대구광역시","65세이상",311862,324269,342105,357653,373465,394279,413854
"인천광역시","합계",2890451,2913024,2925967,2936117,2952237,2945454,2957044
"인천광역시","65세이상",308040,319828,339603,356437,378330,405595,432149
"광주광역시","합계",1502881,1501557,1496172,1490092,1489730,1477573,1475262
"광주광역시","65세이상",166208,174998,181894,188622,196320,207509,216317
"대전광역시","합계",1538394,1535445,1525849,1511214,1498839,1488435,1479740
"대전광역시","65세이상",164305,171173,179601,187216,196886,209143,220869
"울산광역시","합계",1166615,1166033,1157077,1150116,1143692,1135423,1120753
"울산광역시","65세이상",101364,107075,114418,121426,129985,140770,150768
"세종특별자치시","합계",204088,242507,276589,312374,338136,353933,366227
"세종특별자치시","65세이상",21103,22992,25398,27851,30280,32993,35727
"경기도","합계",12479061,12671956,12851601,13103188,13300900,13511676,13652529
"경기도","65세이상",1301808,1359257,1445711,1529871,1629860,1758085,1874756
"강원도","합계",1518040,1521751,1521386,1520391,1520127,1521763,1521890
"강원도","65세이상",254803,258392,271493,280036,292473,308977,324129
"충청북도","합계",1589347,1603404,1611009,1620935,1629343,1632088,1624764
"충청북도","65세이상",230533,235296,247028,255708,267154,281024,295484
"충청남도","합계",2107802,2132566,2162426,2181416,2188649,2176636,2175960
"충청남도","65세이상",332764,340685,354018,363156,376534,395148,411342
"전라북도","합계",1834114,1833168,1826174,1818157,1807423,1802766,1787053
"전라북도","65세이상",324363,332012,341921,348446,359690,375993,388650
"전라남도","합계",1799044,1796017,1792319,1790352,1787543,1788807,1778124
"전라남도","65세이상",372351,376193,387513,391594,399715,413852,425291
"경상북도","합계",2680294,2682169,2677058,2672902,2668154,2644757,2635314
"경상북도","65세이상",469036,479044,498824,514469,533578,557654,581109
"경상남도","합계",3334524,3339633,3345293,3350350,3347209,3333056,3305931
"경상남도","65세이상",453559,466946,490474,508948,532585,564903,593701
"제주특별자치도","합계",605619,623332,641757,658282,665048,670858,673107
"제주특별자치도","65세이상",83468,86724,90427,93446,97470,102980,107917
